SETTLEMENTDATE,BANGOWF,BAYSW,BERYLSF,BHILLGT,BOCOROCK,BODWF,BOMENSF,BROKENH,CAPTL_WF,COLEASF,COLONGRA,COLWF0,CROOKWF,CRURWF,CRWASF,CULLERIN,DARLSF1,DG_NSW1,ERARING,ERGT01,FINLYSF,GNNDHSF,GOONSF,GRIFSF,GULLRGWF,GULLRSF,GULLRWF,GUNNING,HEZ1,HILLSTN,HUMENSW,JEMALNG,JUNEESF,LIDDELL,LIMOSF1,LIMOSF2,MANSLR,METZSF,MLSP,MOLNGSF,MOREESF,MP,NETIC,NEVERSF,NYNGAN,PARSF,ROYALLA,SAPHWF,SEBSF,SHOALHAV,SITHE,SNOWY1,SNOWY2,SNOWY3,SNOWY6,STWF,SUNRSF,SUNTPSF,TALLAWAR,TARALGA,URANQ,VP,WAGGNSF,WALGRV,WELLSF,WOODLWN,WRSF,WRWF
2022-07-03 00:00:00,151.2,1984.48,0.0,0,32.29,0.0,0.0,0.0,126.156,0.0,160.041,169.481,79.2637,23.8978,0.0,26.55,0.0,0,1313.1,0,0.0,0.0,0.0,0.0,132.901,0.0,107.341,37.748,0,0.0,49.7164,0.0,0.0,345.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1410.98,236.190002441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22419,0.0,532.959,0.0,67.7,180.652,0.0,0.0,282,62.7637,0.0,711.625,0.0,0.0,0.0,40.32,0.0,0.0
2022-07-03 00:05:00,147.194,1999.05,0.0,0,31.13,0.0,0.0,0.0,125.7,0.0,160.124,162.439,78.9138,24.3962,0.0,25.78,0.0,0,1248.88,0,0.0,0.0,0.0,0.0,124.504,0.0,107.289,37.1307,0,0.0,49.8928,0.0,0.0,355.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.8,232.509994507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22419,0.0,562.748,0.0,67.7,181.339,0.0,0.0,325,63.4575,0.0,691.375,0.0,0.0,0.0,40.698,0.0,0.0
2022-07-03 00:10:00,146.294,1985.1,0.0,0,29.61,0.0,0.0,0.0,122.092,0.0,159.831,175.9,78.1937,24.3962,0.0,26.38,0.0,0,1145.65,0,0.0,0.0,0.0,0.0,132.88,0.0,105.807,35.9128,0,0.0,50.1259,0.0,0.0,349.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1419.65,236.520004272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19405,0.0,547.287,0.0,67.7,180.574,0.0,0.0,362,57.9712,0.0,743.1,0.0,0.0,0.0,38.754,0.0,0.0
2022-07-03 00:15:00,146.794,1989.38,0.0,0,27.59,0.0,0.0,0.0,124.844,0.0,160.041,178.509,74.8138,25.7964,0.0,26.31,0.0,0,1059.08,0,0.0,0.0,0.0,0.0,136.608,0.0,109.096,36.7141,0,0.0,49.7164,0.0,0.0,345.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1418.48,244.169998169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0,546.504,0.0,67.7,180.833,0.0,0.0,397,58.2562,0.0,795.45,0.0,0.0,0.0,40.995,0.0,0.0
2022-07-03 00:20:00,144.992,1988.0,0.0,0,25.11,0.0,0.0,0.0,126.484,0.0,159.876,171.753,76.1638,23.6984,0.0,26.19,0.0,0,1002.8,0,0.0,0.0,0.0,0.0,127.505,0.0,108.868,37.072,0,0.0,50.3307,0.0,0.0,349.519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1420.07,160.460006714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21414,0.0,548.028,0.0,67.7,180.9,0.0,0.0,410,58.395,0.0,748.8,0.0,0.0,0.0,40.815,0.0,0.0
2022-07-03 00:25:00,149.4,1988.7,0.0,0,22.34,2.89578,0.0,0.0,126.48,0.0,159.876,175.434,81.6738,23.3994,0.0,25.55,0.0,0,997.075,0,0.0,0.0,0.0,0.0,122.672,0.0,108.557,37.1553,0,0.0,49.9779,0.0,0.0,347.962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1426.07,175.789993286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21414,0.0,553.515,0.0,67.7,180.326,0.0,0.0,401,56.5387,0.0,698.5,0.0,0.0,0.0,41.121,0.0,0.0
2022-07-03 00:30:00,147.993,1979.53,0.0,0,22.96,1.19818,0.0,0.0,125.04,0.0,159.79,171.144,79.3337,27.2011,0.0,26.13,0.0,0,907.575,0,0.0,0.0,0.0,0.0,128.324,0.0,107.465,37.5648,0,0.0,49.8015,0.0,0.0,347.587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1418.58,262.290008545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0,542.169,0.0,67.7,180.225,0.0,0.0,409,54.87,0.0,748.125,0.0,0.0,0.0,41.094,0.0,0.0
2022-07-03 00:35:00,148.396,1985.97,0.0,0,21.55,0.0,0.0,0.0,125.168,0.0,109.855,172.845,81.2337,27.9986,0.0,26.06,0.0,0,849.05,0,0.0,0.0,0.0,0.0,130.628,0.0,107.848,36.711,0,0.0,49.4519,0.0,0.0,349.331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1382.43,368.369995117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21414,0.0,542.844,0.0,67.7,180.574,0.0,0.0,410,57.4688,0.0,740.8,0.0,0.0,0.0,40.563,0.0,0.0
2022-07-03 00:40:00,150.198,1984.88,0.0,0,18.61,0.62589,0.0,0.0,126.808,0.0,49.0788,183.944,82.2237,24.0972,0.0,26.07,0.0,0,840.65,0,0.0,0.0,0.0,0.0,126.132,0.0,108.413,36.7483,0,0.0,49.5968,0.0,0.0,349.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348.7,391.239990234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22419,0.0,543.058,0.0,67.7,180.416,0.0,0.0,412,70.14,0.0,732.9,0.0,0.0,0.0,37.17,0.0,0.0
2022-07-03 00:45:00,152.293,1988.28,0.0,0,16.4,1.60758,0.0,0.0,124.452,0.0,0.0,189.348,83.9037,23.8978,0.0,26.15,0.0,0,846.925,0,0.0,0.0,0.0,0.0,130.628,0.0,108.329,36.6927,0,0.0,49.918,0.0,0.0,351.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1322.5,476.459991455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.184,0.0,549.441,0.0,67.7,181.024,0.0,0.0,412,74.3438,0.0,678.7,0.0,0.0,0.0,40.626,0.0,0.0
