SETTLEMENTDATE,BANGOWF,BAYSW,BERYLSF,BHILLGT,BOCOROCK,BODWF,BOMENSF,BROKENH,CAPTL_WF,COLEASF,COLONGRA,COLWF0,CROOKWF,CRURWF,CRWASF,CULLERIN,DARLSF1,DG_NSW1,ERARING,ERGT01,FINLYSF,GNNDHSF,GOONSF,GRIFSF,GULLRGWF,GULLRSF,GULLRWF,GUNNING,HEZ1,HILLSTN,HUMENSW,JEMALNG,JUNEESF,LIDDELL,LIMOSF1,LIMOSF2,MANSLR,METZSF,MLSP,MOLNGSF,MOREESF,MP,NETIC,NEVERSF,NYNGAN,PARSF,ROYALLA,SAPHWF,SEBSF,SHOALHAV,SITHE,SNOWY1,SNOWY2,SNOWY3,SNOWY6,STWF,SUNRSF,SUNTPSF,TALLAWAR,TARALGA,URANQ,VP,WAGGNSF,WALGRV,WELLSF,WOODLWN,WRSF,WRWF,QBYNB,WSTWYSF,NEWENSF,AVLSF,RESS1,RIVNB2,DPNTB,WYASF,CAPBES,BWTR1,CONDONG1,FLYCRKWF,RYEPARK,TALWB,SHOAL1,BHB,WELNSF
2024-07-22 00:00:00,9.89617,1983.75,0.0,0.0,34.46,12.2308,0.0,0.0,73.6613,0.0,0.0,137.163,0.00317,89.2966,0.0,26.2,0.0,0,2713.76,0.0,0.0,0.0,0.0,0.001526,54.5342,0.0,40.2384,35.5509,0.0,0.0,-0.30608,0.0,0.0,,0.0,0.0,0.0,0.0,0.029,0.0,0.0,698.289,673.159973145,0.0,0.0,0.00153,0.0,80.8011,0.0,0.0,0.00565,120.7,0.0,0.0,0.0,72.7691,0.0,0.0,252.0,69.1032,0.0,904.422,0.0,0.0,0.0,16.9236,0.0,42.2473,0.0,0.0,0.0,0.0,0.0,0.0,1.80493,0.0,0.0,13.4898,19.69,1.36,37.9141,0.0,43.925,0.0,0.0
2024-07-22 00:05:00,10.8949,1975.08,0.0,0.0,30.61,15.0796,0.0,0.0,69.6651,0.0,0.0,108.64,0.00317,85.2963,0.0,27.31,0.0,0,2715.3,0.0,0.0,0.0,0.0,0.001526,55.7542,0.0,45.8562,36.4063,0.0,0.0,-0.36453,0.0,0.0,,0.0,0.0,0.0,0.0,0.029,0.0,0.0,697.655,671.239990234,0.0,0.0,0.00153,0.0,79.5468,0.0,0.0,0.08352,125.45,0.0,0.0,0.0,70.8464,0.0,0.0,223.0,67.6237,0.0,894.925,0.0,0.04933,0.0,14.1814,0.0,31.632,0.0,0.0,0.0,0.0,0.40824,0.57572,9.72747,0.0,0.0,13.4898,19.72,1.45,39.2193,0.0,43.7,0.0,0.0
2024-07-22 00:10:00,11.1971,2009.28,0.0,0.0,34.24,15.1822,0.0,0.0,79.3645,0.0,0.0,89.3065,0.00317,85.5972,0.0,25.22,0.0,0,2717.64,0.0,0.0,0.0,0.0,0.001526,53.2742,0.0,53.2957,36.6888,0.0,0.0,-0.27532,0.0,0.0,,0.0,0.0,0.0,0.0,0.029,0.0,0.0,698.705,703.770019531,0.0,0.0,0.00153,0.0,79.8489,0.0,0.0,0.15386,134.89,0.0,0.0,0.0,65.3642,0.0,0.0,175.0,67.6494,0.0,902.2,0.0,0.0,0.0,22.5135,0.0,24.1691,0.0,0.0,0.0,0.0,0.0,0.23777,0.0,0.0,0.0,13.4898,19.57,0.77,41.8297,0.0,44.15,0.0,0.0
2024-07-22 00:15:00,13.6952,1988.24,0.0,0.0,38.84,15.0022,0.0,0.0,68.3526,0.0,0.0,69.1417,0.00317,86.2964,0.0,23.85,0.0,0,2716.59,0.0,0.0,0.0,0.0,0.001526,53.9542,0.0,52.1595,35.8953,0.0,0.0,-0.39529,0.0,0.0,,0.0,0.0,0.0,0.0,0.029,0.0,0.0,699.876,735.849975586,0.0,0.0,0.00153,0.0,72.7718,0.0,0.0,0.08352,124.84,0.0,0.0,0.0,56.6738,0.0,0.0,68.0,66.8217,0.0,900.296,0.0,0.0,0.0,24.5175,0.0,18.132,0.0,0.0,0.0,0.0,0.05234,23.5239,0.0,0.0,0.0,13.1468,19.61,0.71,43.008,0.0,43.675,0.0,0.0
2024-07-22 00:20:00,15.0974,2044.22,0.0,0.0,44.41,14.5312,0.0,0.0,56.5595,0.0,0.0,61.004,0.00317,85.7964,0.0,21.2,0.0,0,2716.77,0.0,0.0,0.0,0.0,0.001526,57.0041,0.0,55.7714,34.7916,0.0,0.0,-0.39529,0.0,0.0,,0.0,0.0,0.0,0.0,0.029,0.0,0.0,700.658,764.450012207,0.0,0.0,0.00153,0.0,74.1634,0.0,0.0,0.08352,114.55,0.0,0.0,0.0,53.4218,0.0,0.0,2.0,64.8295,0.0,942.583,0.0,0.0,0.0,24.5878,0.0,15.8651,0.0,0.0,0.0,0.0,0.14206,0.09122,0.1301,0.0,0.0,13.1468,19.54,0.61,47.685,0.0,43.975,0.0,0.0
2024-07-22 00:25:00,16.7955,2055.72,0.0,0.0,42.3,15.111,0.0,0.0,52.6258,0.0,0.0,58.4909,0.00317,77.4993,0.0,21.25,0.0,0,2712.59,0.0,0.0,0.0,0.0,0.001526,56.8541,0.0,58.247,36.1579,0.0,0.0,-0.30608,0.0,0.0,,0.0,0.0,0.0,0.0,0.029,0.0,0.0,699.974,714.119995117,0.0,0.0,0.00153,0.0,79.1714,0.0,0.0,0.00565,133.07,0.0,0.0,0.0,54.07,0.0,0.0,0.0,61.3248,0.0,977.032,0.0,0.0,0.0,23.6561,0.0,13.5897,0.0,0.0,0.0,0.0,0.0,0.02243,0.0,0.0,0.0,13.1468,19.52,1.08,48.7182,0.0,43.25,0.0,0.0
2024-07-22 00:30:00,15.7968,2049.08,0.0,0.0,39.5,11.0627,0.0,0.0,50.1336,0.0,0.0,49.8207,0.00317,71.4988,0.0,23.26,0.0,0,2708.73,0.0,0.0,0.0,0.0,0.001526,61.4641,0.0,51.5945,37.2918,0.0,0.0,-0.36453,0.0,0.0,,0.0,0.0,0.0,0.0,0.029,0.0,0.0,696.214,711.659973145,0.0,0.0,0.00153,0.0,84.2161,0.0,0.0,0.15386,129.51,0.0,0.0,0.0,56.4541,0.0,0.0,0.0,61.2113,0.0,974.297,0.0,0.0,0.0,24.3153,0.0,13.3468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1468,19.58,1.27,42.8267,0.0,43.95,0.0,0.0
2024-07-22 00:35:00,19.098,1997.1,0.0,0.0,39.2,9.71051,0.0,0.0,55.8993,0.0,0.0,39.0723,0.00317,73.2998,0.0,21.95,0.0,0,2676.75,0.0,0.0,0.0,0.0,0.001526,58.5241,0.0,53.6766,38.9057,0.0,0.0,-0.39529,0.0,0.0,,0.0,0.0,0.0,0.0,0.029,0.0,0.0,696.19,758.599975586,0.0,0.0,0.00153,0.0,83.7583,0.0,0.0,0.12371,120.62,58.6193,0.0,0.0,57.4649,0.0,0.0,0.0,59.7318,0.0,1002.64,0.0,0.0,0.0,36.8751,0.0,16.6653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1468,19.75,0.97,37.8054,0.0,43.75,0.0,0.0
2024-07-22 00:40:00,26.5952,1957.48,0.0,0.0,41.86,10.5708,0.0,0.0,65.2744,0.0,0.0,26.891,0.00317,69.9987,0.0,20.02,0.0,0,2651.07,0.0,0.0,0.0,0.0,0.001526,59.3041,0.0,48.3826,38.9065,0.0,0.0,-0.39529,0.0,0.0,,0.0,0.0,0.0,0.0,0.029,0.0,0.0,700.975,730.599975586,0.0,0.0,0.00153,0.0,91.3664,0.0,0.0,0.08352,119.64,71.9448,0.0,0.0,56.4212,0.0,0.0,0.0,52.3232,0.0,1001.54,0.0,0.0,0.0,42.3859,0.0,20.0864,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,13.1468,19.51,0.92,34.8505,0.0,43.925,0.0,0.0
2024-07-22 00:45:00,33.4988,1953.11,0.0,0.0,43.9,11.4688,0.0,0.0,77.2004,0.0,0.0,21.1658,0.00317,70.1978,0.0,16.09,0.0,0,2652.65,0.0,0.0,0.0,0.0,0.001526,52.2142,0.0,43.1584,38.2654,0.0,0.0,-0.36453,0.0,0.0,,0.0,0.0,0.0,0.0,0.029,0.0,0.0,697.728,804.979980469,0.0,0.0,0.00153,0.0,90.9728,0.0,0.0,0.12371,-0.27,124.915,0.0,0.0,54.9599,0.0,0.0,0.0,47.577,0.0,999.152,0.0,0.0,0.0,42.3595,0.0,18.1338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1468,19.64,1.54,29.4847,0.0,43.5,0.0,0.0
