SETTLEMENTDATE,BANGOWF,BAYSW,BERYLSF,BHILLGT,BOCOROCK,BODWF,BOMENSF,BROKENH,CAPTL_WF,COLEASF,COLONGRA,COLWF0,CROOKWF,CRURWF,CRWASF,CULLERIN,DARLSF1,DG_NSW1,ERARING,ERGT01,FINLYSF,GNNDHSF,GOONSF,GRIFSF,GULLRGWF,GULLRSF,GULLRWF,GUNNING,HEZ1,HILLSTN,HUMENSW,JEMALNG,JUNEESF,LIDDELL,LIMOSF1,LIMOSF2,MANSLR,METZSF,MLSP,MOLNGSF,MOREESF,MP,NETIC,NEVERSF,NYNGAN,PARSF,ROYALLA,SAPHWF,SEBSF,SHOALHAV,SITHE,SNOWY1,SNOWY2,SNOWY3,SNOWY6,STWF,SUNRSF,SUNTPSF,TALLAWAR,TARALGA,URANQ,VP,WAGGNSF,WALGRV,WELLSF,WOODLWN,WRSF,WRWF,QBYNB,WSTWYSF,NEWENSF,AVLSF,RESS1,RIVNB2,DPNTB,WYASF,CAPBES,BWTR1,CONDONG1,FLYCRKWF,RYEPARK,TALWB,SHOAL1,BHB,WELNSF,WLWLSF
2024-09-23 00:00:00,77.0986,2015.08,0.0,0.0,14.79,3.19637,0.0,0.0,83.3606,0.0,0.0,90.016,26.2952,10.2995,0.0,19.59,0.0,0,1396.04,0.0,0.0,0.0,0.0,0.001526,106.293,0.0,49.1443,25.6143,0.0,0.0,21.935,0.0,0.0,,0.0,0.0,0.0,0.0,0.042,0.0,0.0,782.727,733.570007324,0.0,0.0,0.00153,0.0,16.4477,0.0,0.0,0.08352,0.0,121.778,30.7,40.2,0.0,0.0,0.0,0.0,84.77,0.0,903.323,0.0,0.0,0.0,46.0422,0.0,21.0459,,0.0,0.0,0.0,0.0,,,0.0,0.11,3.94404,24.02,11.38,86.2426,0.0,44.8,,0.0,0.0
2024-09-23 00:05:00,75.8943,2018.99,0.0,0.0,14.08,2.78505,0.0,0.0,83.9505,0.0,0.0,86.5171,27.5321,13.4988,0.0,20.0,0.0,0,1398.36,0.0,0.0,0.0,0.0,0.001526,109.313,0.0,51.347,27.8717,0.0,0.0,22.1688,0.0,0.0,,0.0,0.0,0.0,0.0,0.042,0.0,0.0,778.845,578.159973145,0.0,0.0,0.00153,0.0,14.6807,0.0,0.0,0.00565,0.0,228.342,31.2,40.2,0.0,0.0,0.0,0.0,81.1627,0.0,914.652,0.0,0.17592,0.0,45.6291,0.0,22.0041,,0.0,0.0,0.0,0.0,,,0.0,0.07,3.94404,23.65,11.33,93.1674,0.0,44.325,,0.0,0.0
2024-09-23 00:10:00,63.5953,2023.21,0.0,0.0,12.66,2.31616,0.0,0.0,81.7864,0.0,0.0,84.5258,28.0906,14.698,0.0,18.79,0.0,0,1399.19,0.0,0.0,0.0,0.0,0.001526,117.733,0.0,51.3851,29.3016,0.0,0.0,21.8765,0.0,0.0,,0.0,0.0,0.0,0.0,0.042,0.0,0.0,777.038,658.5,0.0,0.0,0.00153,0.0,14.6166,0.0,0.0,0.15386,0.0,232.037,30.8,40.2,0.0,0.0,0.0,0.0,79.4598,0.0,927.47,0.0,0.0,0.0,44.7766,0.0,22.1225,,0.0,0.0,0.0,0.0,,,0.0,0.1,3.94404,23.63,9.44,100.128,0.0,44.675,,0.0,0.0
2024-09-23 00:15:00,55.1962,2021.87,0.0,0.0,15.51,1.85774,0.0,0.0,78.3801,0.0,0.0,85.5085,26.5357,14.198,0.0,18.87,0.0,0,1397.87,0.0,0.0,0.0,0.0,0.001526,119.693,0.0,50.3885,28.1161,0.0,0.0,21.5843,0.0,0.0,,0.0,0.0,0.0,0.0,0.042,0.0,0.0,792.541,639.900024414,0.0,0.0,0.00153,0.0,15.2483,0.0,0.0,0.15386,0.0,232.399,31.4,40.1,0.0,0.0,0.0,0.0,79.6832,0.0,927.372,0.0,0.0,0.0,43.6867,0.0,20.8884,,0.0,0.0,0.0,0.0,,,0.0,0.1,3.94404,23.87,10.2,105.748,0.0,44.4,,0.0,0.0
2024-09-23 00:20:00,49.4987,2028.36,0.0,0.0,17.95,1.89752,0.0,0.0,79.0364,0.0,0.0,87.5029,25.0815,13.2997,0.0,18.42,0.0,0,1384.32,0.0,0.0,0.0,0.0,0.001526,114.153,0.0,52.1976,29.0238,0.0,0.0,21.9934,0.0,0.0,,0.0,0.0,0.0,0.0,0.042,0.0,0.0,799.084,641.950012207,0.0,0.0,0.00153,0.0,16.228,0.0,0.0,0.00565,0.0,235.904,30.9,40.2,0.0,0.0,0.0,0.0,76.2078,0.0,936.943,0.0,0.1331,0.0,43.9064,0.0,22.5913,,0.0,0.0,0.0,0.0,,,0.0,0.09,3.94404,24.35,11.93,111.64,0.0,44.7,,0.0,0.0
2024-09-23 00:25:00,46.6956,2012.35,0.0,0.0,18.97,2.04823,0.0,0.0,77.3293,0.0,0.0,86.0639,24.8543,12.7997,0.0,19.4,0.0,0,1358.47,0.0,0.0,0.0,0.0,0.001526,112.893,0.0,52.5911,27.0338,0.0,0.0,21.8488,0.0,0.0,,0.0,0.0,0.0,0.0,0.042,0.0,0.0,806.751,562.869995117,0.0,0.0,0.00153,0.0,17.2717,0.0,0.0,0.00565,0.0,213.717,30.6,40.2,0.0,0.0,0.0,0.0,71.5972,0.0,930.717,0.0,0.0,0.0,45.2248,0.0,26.3841,,0.0,0.0,0.0,0.0,,,0.0,0.1,3.94404,24.03,10.72,112.038,0.0,44.125,,0.0,0.0
2024-09-23 00:30:00,43.8934,2020.31,0.0,0.0,18.52,2.08695,0.0,0.0,85.7865,0.0,0.0,87.2099,25.6574,12.2996,0.0,19.05,0.0,0,1351.41,0.0,0.0,0.0,0.0,0.001526,113.043,0.0,49.138,27.4314,0.0,0.0,22.0242,0.0,0.0,,0.0,0.0,0.0,0.0,0.042,0.0,0.0,819.739,593.039978027,0.0,0.0,0.00153,0.0,18.4711,0.0,0.0,0.12371,0.0,178.942,30.5,40.0,0.0,0.0,0.0,0.0,73.095,0.0,918.29,0.0,0.09215,0.0,45.8576,0.0,28.4569,,0.0,0.0,0.0,0.0,,,0.0,0.1,3.94404,24.15,10.79,112.22,0.0,45.025,,0.0,0.0
2024-09-23 00:35:00,42.995,2030.85,0.0,0.0,17.43,2.14766,0.0,0.0,89.06,0.0,0.0,82.501,23.8403,10.6977,0.0,19.63,0.0,0,1353.63,0.0,0.0,0.0,0.0,0.001526,111.203,0.0,44.7897,28.9469,0.0,0.0,22.0826,0.0,0.0,,0.0,0.0,0.0,0.0,0.042,0.0,0.0,819.202,669.070007324,0.0,0.0,0.00153,0.0,19.9908,0.0,0.0,0.08352,0.0,111.139,31.2,40.1,0.0,0.0,0.0,0.0,66.5727,0.0,905.74,0.0,0.04561,0.0,46.4729,0.0,29.077,,0.0,0.0,0.0,0.0,,,0.0,0.09,3.94404,24.08,10.46,114.903,0.0,44.25,,0.0,0.0
2024-09-23 00:40:00,43.5951,2032.93,0.0,0.0,17.4,2.27744,0.0,0.0,84.1458,0.0,0.0,75.3963,24.3612,8.8967,0.0,19.97,0.0,0,1350.92,0.0,0.0,0.0,0.0,0.001526,107.873,0.0,44.5866,30.1704,0.0,0.0,21.8181,0.0,0.0,,0.0,0.0,0.0,0.0,0.042,0.0,0.0,789.172,623.679992676,0.0,0.0,0.00153,0.0,20.4028,0.0,0.0,0.00565,0.0,146.563,30.9,40.1,0.0,0.0,0.0,0.0,68.1511,0.0,900.101,0.0,0.19454,0.0,46.3235,0.0,27.2178,,0.0,0.0,0.0,0.0,,,0.0,0.09,3.94404,24.26,10.65,114.83,0.0,44.475,,0.0,0.0
2024-09-23 00:45:00,39.5965,2024.09,0.0,0.0,22.58,2.04927,0.0,0.0,79.0364,0.0,0.0,74.3587,23.3923,8.39666,0.0,19.65,0.0,0,1366.52,0.0,0.0,0.0,0.0,0.001526,107.953,0.0,50.1663,31.3273,0.0,0.0,21.9073,0.0,0.0,,0.0,0.0,0.0,0.0,0.042,0.0,0.0,736.242,639.049987793,0.0,0.0,0.00153,0.0,22.9572,0.0,0.0,0.00565,0.0,105.045,30.6,39.9,0.0,0.0,0.0,0.0,73.8054,0.0,897.684,0.0,0.0,0.0,46.3938,0.0,25.3672,,0.0,0.0,0.0,0.0,,,0.0,0.08,3.94404,24.08,11.27,123.985,0.0,44.425,,0.0,0.0
