SETTLEMENTDATE,BANGOWF,BAYSW,BERYLSF,BHILLGT,BOCOROCK,BODWF,BOMENSF,BROKENH,CAPTL_WF,COLEASF,COLONGRA,COLWF0,CROOKWF,CRURWF,CRWASF,CULLERIN,DARLSF1,DG_NSW1,ERARING,ERGT01,FINLYSF,GNNDHSF,GOONSF,GRIFSF,GULLRGWF,GULLRSF,GULLRWF,GUNNING,HEZ1,HILLSTN,HUMENSW,JEMALNG,JUNEESF,LIDDELL,LIMOSF1,LIMOSF2,MANSLR,METZSF,MLSP,MOLNGSF,MOREESF,MP,NETIC,NEVERSF,NYNGAN,PARSF,ROYALLA,SAPHWF,SEBSF,SHOALHAV,SITHE,SNOWY1,SNOWY2,SNOWY3,SNOWY6,STWF,SUNRSF,SUNTPSF,TALLAWAR,TARALGA,URANQ,VP,WAGGNSF,WALGRV,WELLSF,WOODLWN,WRSF,WRWF
2022-06-22 00:00:00,86.2969,1949.65,0.0,0,0.0,33.742,0.0,0.0,44.5,0.0,340.134,36.6141,67.6038,55.5984,0.0,9.04,0.0,0,2010.45,0,0.0,0.0,0.0,0.0,71.9133,0.0,57.1935,31.6677,0,0.0,57.8624,0.0,0.0,633.319,0.0,0.0,0.0,0,0.0,0.0,0.0,571.75,1273.13000488,0.0,0.0,0.0,0.0,23.0157,0.0,0.0,118.378,261.85,0.0,0.0,59.5,0.0,0.0,0.0,363,41.205,0.0,530.85,0.0,0.0,0.0,38.7,0.0,17.7225
2022-06-22 00:05:00,90.6981,1945.2,0.0,0,0.0,32.143,0.0,0.0,44.956,0.0,339.207,38.8703,62.0838,54.7964,0.0,7.42,0.0,0,2000.15,0,0.0,0.0,0.0,0.0,75.8557,0.0,47.3135,33.0896,0,0.0,57.1001,0.0,0.0,625.238,0.0,0.0,0.0,0,0.0,0.0,0.0,556.875,1437.0,0.0,0.0,0.0,0.0,23.3625,0.0,0.0,118.147,126.74,0.0,0.0,58.1,0.0,0.0,0.0,402,37.2787,0.0,568.675,0.0,0.0,0.0,41.166,0.0,20.2525
2022-06-22 00:10:00,87.6936,1946.22,0.0,0,0.0,29.5837,0.0,0.0,48.104,0.0,339.796,36.8047,59.9338,57.198,0.0,6.19,0.0,0,1999.95,0,0.0,0.0,0.0,0.0,75.6405,0.0,38.402,29.5555,0,0.0,57.7742,0.0,0.0,620.737,0.0,0.0,0.0,0,0.0,0.0,0.0,556.9,1250.16003418,0.0,0.0,0.0,0.0,22.8,0.0,0.0,53.5225,118.39,0.0,0.0,58.2,0.0,0.0,0.0,411,36.0713,0.0,598.275,0.0,0.0,0.0,36.432,0.0,19.96
2022-06-22 00:15:00,81.6994,1950.7,0.0,0,0.0,26.8637,0.0,0.0,47.38,0.0,339.249,33.6672,57.0537,55.2994,0.0,5.98,0.0,0,2032.12,0,0.0,0.0,0.0,0.0,84.3852,0.0,34.8595,24.2702,0,0.0,56.9835,0.0,0.0,640.744,0.0,0.0,0.0,0,0.0,0.0,0.0,591.525,1215.77001953,0.0,0.0,0.0,0.0,23.4375,0.0,0.0,0.84464,4.85,0.0,0.0,59.8,0.0,0.0,0.0,419,41.5425,0.0,640.1,0.0,1.29243,0.0,39.132,0.0,21.4575
2022-06-22 00:20:00,76.1975,1942.07,0.0,0,0.0,26.8809,0.0,0.0,47.708,0.0,339.331,32.1031,48.9738,53.6001,0.0,7.06,0.0,0,1997.22,0,0.0,0.0,0.0,0.0,87.9385,0.0,35.737,23.9655,0,0.0,57.4213,0.0,0.0,624.975,0.0,0.0,0.0,0,0.0,0.0,0.0,558.725,1180.35998535,0.0,0.0,0.0,0.0,25.0312,0.0,0.0,0.76426,0.0,0.0,0.0,57.5,0.0,0.0,0.0,411,47.8988,0.0,697.5,0.0,0.0,0.0,39.807,0.0,24.0725
2022-06-22 00:25:00,72.2983,1932.62,0.0,0,0.0,27.3631,0.0,0.0,52.492,0.0,340.216,28.0984,45.0537,46.4,0.0,8.62,0.0,0,1991.28,0,0.0,0.0,0.0,0.0,81.2007,0.0,38.3825,27.6654,0,0.0,57.3331,0.0,0.0,620.531,0.0,0.0,0.0,0,0.0,0.0,0.0,543.35,1081.63000488,0.0,0.0,0.0,0.0,26.0719,0.0,0.0,0.78435,0.0,0.0,0.0,56.9,0.0,0.0,0.0,409,52.2487,0.0,754.525,0.0,0.0,0.0,39.168,0.0,26.435
2022-06-22 00:30:00,76.3934,1943.57,0.0,0,0.0,30.3125,0.0,0.0,57.864,0.0,340.089,26.4234,36.2937,43.8987,0.0,11.1,0.0,0,1997.43,0,0.0,0.0,0.0,0.0,77.7397,0.0,41.34,27.7027,0,0.0,57.1883,0.0,0.0,631.894,0.0,0.0,0.0,0,0.0,0.0,0.0,559.35,987.640014648,0.0,0.0,0.0,0.0,28.7156,0.0,0.0,0.77431,0.0,0.0,0.0,58.2,0.0,0.0,0.0,411,66.5175,0.0,789.375,0.0,0.0,0.0,38.871,0.0,30.325
2022-06-22 00:35:00,74.5983,1951.8,0.0,0,0.0,29.6995,0.0,0.0,51.904,0.0,340.509,19.8844,31.5837,39.8977,0.0,13.08,0.0,0,1999.95,0,0.0,0.0,0.0,0.0,78.4667,0.0,51.012,28.1352,0,0.0,56.7756,0.0,0.0,629.475,0.0,0.0,0.0,0,0.0,0.0,0.0,560.75,1032.7800293,0.0,0.0,0.0,0.0,28.875,0.0,0.0,0.78435,0.0,0.0,0.0,57.9,0.0,0.0,0.0,379,67.2975,0.0,800.4,0.0,0.0,0.0,31.59,0.0,30.6675
2022-06-22 00:40:00,73.4933,1949.28,0.0,0,0.0,27.4917,0.0,0.0,44.436,0.0,339.541,9.63125,31.4638,45.0995,0.0,12.84,0.0,0,2002.38,0,0.0,0.0,0.0,0.0,92.1674,0.0,58.1685,29.2754,0,0.0,57.393,0.0,0.0,623.494,0.0,0.0,0.0,0,0.0,0.0,0.0,559.825,1030.45996094,0.0,0.0,0.0,0.0,28.35,0.0,0.0,0.21414,0.0,0.0,0.0,57.8,0.0,0.0,0.0,340,77.0025,0.0,840.05,0.0,0.0,0.0,24.867,0.0,29.2763
2022-06-22 00:45:00,73.5953,1947.05,0.0,0,0.0,33.3112,0.0,0.0,44.824,0.0,339.249,8.60781,40.5638,47.8002,0.0,8.97,0.0,0,2006.13,0,0.0,0.0,0.0,0.0,100.82,0.0,63.8235,27.9995,0,0.0,57.7143,0.0,0.0,627.788,0.0,0.0,0.0,0,0.0,0.0,0.0,559.95,1026.22998047,0.0,0.0,0.0,0.0,28.9219,0.0,0.0,0.19405,0.0,0.0,0.0,58.5,0.0,0.0,0.0,307,75.8287,0.0,865.075,0.0,0.0,0.0,20.466,0.0,27.8875
