SETTLEMENTDATE,B2PS,BARCALDN,BARCSF,BARRON,BLUEGSF,BRAEMARA,CALLIDE,CALLIDEC,CHILDSF,CLARESF,CLERMSF,COLUMSF,COOPGWF,CPSA,CSPVPS,DAYDSF,DDPS1,DDSF,DG_QLD1,EMERASF,G/STONE,GANGARR,GERMCRK,HAMISF,HAUGHT11,HAYMSF,HUGSF,KAREEYA,KEPBG,KEPSF,KEPWF,KOGANCK,KS,LILYSF,LRSF,MARYRSF,MBAHNTH,MEWF,MIDDLSF,MILLMERN,MSTUART,NETIC,OAKEY,OAKEYSF,PIONEER,ROMA,RPCG,RRSF,RUGBYR1,SMCSF,SRSF,STANWELL,SWANBANK,TARONG,TARONGN,WANDB1,WARWSF,WDGPH,WHITSF,WIVENHOE,WOOLGSF,YABULU,YARANSF,YARWUN
2022-08-08 00:00:00,0.3122,0.0,0.0,55.88,0.0,0.0,69.4,422.675,0.0,0.0,0.0,0.0,186.46,0.0,0.0,0.0,220.601,0.0,0,0.0,681.975,0.0,21.2,0.0,0.0,0.0,-0.144,17.5225,0.0,0.0,24.87,701.123,0.0,0.0,0.005,0.0,40.8,43.4094,0.02,854.765,0.0,0.0,0.0,0.0,41.7,75.9855,-0.1,0.0,0.0,0.0,0.0,1044.04,-0.58,1021.6,333.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.01
2022-08-08 00:05:00,0.3122,0.0,0.0,55.88,0.0,0.0,69.4,424.6,0.0,0.0,0.0,0.0,187.89,0.0,0.0,0.0,219.852,0.0,0,0.0,747.25,0.0,21.2,0.0,0.0,0.0,-0.144,17.5425,0.01,0.0,24.78,709.6,0.0,0.0,0.005,0.0,40.8,47.19,0.02,855.696,0.0,0.0,0.0,0.0,42.5,75.9855,-0.1,0.0,0.0,0.0,0.0,1013.96,-0.58,983.1,333.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.5
2022-08-08 00:10:00,0.3122,0.0,0.0,55.88,0.0,0.0,69.4,423.5,0.0,0.0,0.0,0.0,200.68,0.0,0.0,0.0,220.73,0.0,0,0.0,771.925,0.0,21.1,0.0,0.0,0.0,-0.144,17.5125,0.36,0.0,24.87,704.531,0.0,0.0,0.005,0.0,40.8,46.2705,0.02,855.314,0.0,0.0,0.0,0.0,47.5,75.9855,-0.1,0.0,0.0,0.0,0.0,1004.25,-0.58,928.7,331.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.6
2022-08-08 00:15:00,0.3122,0.0,0.0,55.88,0.0,0.0,70.9,421.025,0.0,0.0,0.0,0.0,197.84,0.0,0.0,0.0,217.741,0.0,0,0.0,777.0,0.0,20.8,0.0,0.0,0.0,-0.144,17.505,0.0,0.0,24.76,704.531,0.0,0.0,0.005,0.0,40.8,44.7672,0.02,854.383,0.0,0.0,0.0,0.0,47.6,75.9855,-0.1,0.0,0.0,0.0,0.0,1004.22,-0.58,900.6,331.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.91
2022-08-08 00:20:00,0.3122,0.0,0.0,55.88,0.0,0.0,85.6,421.025,0.0,0.0,0.0,0.0,193.2,0.0,0.0,0.0,220.406,0.0,0,0.0,782.95,0.0,20.6,0.0,0.0,0.0,-0.144,17.47,0.37,0.0,24.71,708.71,0.0,0.0,0.005,0.0,40.8,50.1514,0.02,855.97,0.0,0.0,0.0,0.0,46.5,75.9855,-0.1,0.0,0.0,0.0,0.0,994.315,-0.58,862.3,331.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.15
2022-08-08 00:25:00,0.3122,0.0,0.0,55.88,0.0,0.0,104.2,422.125,0.0,0.0,0.0,0.0,199.94,0.0,0.0,0.0,218.756,0.0,0,0.0,781.375,0.0,21.5,0.0,0.0,0.0,-0.144,17.305,0.36,0.0,24.79,712.89,0.0,0.0,0.005,0.0,40.8,48.9533,0.02,854.063,0.0,0.0,0.0,0.0,45.1,75.9855,-0.1,0.0,0.0,0.0,0.0,976.114,-0.58,852.3,329.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.3
2022-08-08 00:30:00,0.3122,0.0,0.0,55.88,0.0,0.0,124.1,421.025,0.0,0.0,0.0,0.0,204.39,0.0,0.0,0.0,220.5,0.0,0,0.0,785.225,0.0,21.4,0.0,0.0,0.0,-0.144,17.33,0.0,0.0,24.71,716.633,0.0,0.0,0.005,0.0,40.8,51.667,0.02,854.78,0.0,0.0,0.0,0.0,46.8,75.9855,-0.1,0.0,0.0,0.0,0.0,989.803,-0.58,857.1,326.875,-0.01509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.21
2022-08-08 00:35:00,0.3122,0.0,0.0,46.16,0.0,0.0,135.7,422.125,0.0,0.0,0.0,0.0,213.26,0.0,0.0,0.0,219.742,0.0,0,0.0,786.1,0.0,21.4,0.0,0.0,0.0,-0.144,17.4775,0.35,0.0,24.69,722.357,0.0,0.0,0.005,0.0,40.8,54.6263,0.02,854.948,0.0,0.0,0.0,0.0,45.8,75.9855,-0.1,0.0,0.0,0.0,0.0,984.522,-0.58,860.0,332.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.75
2022-08-08 00:40:00,0.3122,0.0,0.0,36.44,0.0,0.0,140.1,421.575,0.0,0.0,0.0,0.0,217.48,0.0,0.0,0.0,219.194,0.0,0,0.0,785.925,0.0,20.8,0.0,0.0,0.0,-0.144,17.5475,0.36,0.0,24.8,721.249,0.0,0.0,0.005,0.0,40.8,62.2387,0.02,855.146,0.0,0.0,0.0,0.0,46.6,75.9855,-0.1,0.0,0.0,0.0,0.0,985.535,-0.58,857.3,330.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.51
2022-08-08 00:45:00,0.3122,0.0,0.0,28.04,0.0,0.0,141.0,422.95,0.0,0.0,0.0,0.0,222.8,0.0,0.0,0.0,217.643,0.0,0,0.0,782.95,0.0,21.2,0.0,0.0,0.0,-0.144,17.5425,0.0,0.0,24.7,723.565,0.0,0.0,0.005,0.0,40.8,62.3452,0.02,854.002,0.0,0.0,0.0,0.0,46.0,75.9855,-0.1,0.0,0.0,0.0,0.0,987.432,-0.58,856.4,330.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.79
