SETTLEMENTDATE,B2PS,BARCALDN,BARCSF,BARRON,BLUEGSF,BRAEMARA,CALLIDE,CALLIDEC,CHILDSF,CLARESF,CLERMSF,COLUMSF,COOPGWF,CPSA,CSPVPS,DAYDSF,DDPS1,DDSF,DG_QLD1,EMERASF,G/STONE,GANGARR,GERMCRK,HAMISF,HAUGHT11,HAYMSF,HUGSF,KAREEYA,KEPBG,KEPSF,KEPWF,KOGANCK,KS,LILYSF,LRSF,MARYRSF,MBAHNTH,MEWF,MIDDLSF,MILLMERN,MSTUART,NETIC,OAKEY,OAKEYSF,PIONEER,ROMA,RPCG,RRSF,RUGBYR1,SMCSF,SRSF,STANWELL,SWANBANK,TARONG,TARONGN,WANDB1,WARWSF,WDGPH,WHITSF,WIVENHOE,WOOLGSF,YABULU,YARANSF,YARWUN,KABANWF,MOUSF,NEV
2022-12-19 00:00:00,0.47333,0.0,0.1,0.0,0.0,0.0,639.7,0.0,0.0,0.0,0.0,0.0,391.46,0.0,0.0,0.0,0.0,0.0,0,0.0,750.925,0.0,1.1,0.0,0.0,0.0,-0.182,4.6575,0.02,0.0,9.84,0.0,0.0,0.0,0.004,0.0,47.2875,100.549,0.0,859.617,0.0,0.0,0.0,0.0,10.3,0.0,11.1,0.0,0.0,0.0,0.0,1032.55,0.2175,1344.0,300.438,0.0,0.0,0.0,0.0,165.67,0.0,0.0,0.0,114.6,29.972,0.0,
2022-12-19 00:05:00,0.47333,0.0,0.1,0.0,0.0,0.0,640.9,0.0,0.0,0.0,0.0,0.0,391.68,0.0,0.0,0.0,0.0,0.0,0,0.0,751.1,0.0,1.1,0.0,0.0,0.0,-0.182,4.7175,0.02,0.0,9.86,0.0,0.0,0.0,0.004,0.0,47.3062,99.0126,0.0,861.922,0.0,0.0,0.0,0.0,9.8,0.0,11.1,0.0,0.0,0.0,0.0,975.511,0.2175,1277.6,299.5,0.0,0.0,0.0,0.0,164.06,0.0,0.0,0.0,115.41,36.981,0.0,
2022-12-19 00:10:00,0.47333,0.0,0.1,0.0,0.0,0.0,639.8,0.0,0.0,0.0,0.0,0.0,388.02,0.0,0.0,0.0,0.0,0.0,0,0.0,750.75,0.0,1.1,0.0,0.0,0.0,-0.182,4.495,0.02,0.0,9.13,0.0,0.0,0.0,0.004,0.0,47.2688,101.429,0.0,861.677,0.0,0.0,0.0,0.0,9.8,0.0,11.1,0.0,0.0,0.0,0.0,928.957,0.2175,1252.6,299.312,0.0,0.0,0.0,0.0,165.48,0.0,0.0,0.0,114.35,34.603,0.0,
2022-12-19 00:15:00,0.47333,0.0,0.1,0.0,0.0,0.0,639.5,0.0,0.0,0.0,0.0,0.0,377.83,0.0,0.0,0.0,0.0,0.0,0,0.0,751.275,0.0,1.1,0.0,0.0,0.0,-0.182,4.6075,0.02,0.0,9.23,0.0,0.0,0.0,0.004,0.0,47.325,106.205,0.0,860.93,0.0,0.0,0.0,0.0,9.8,0.0,11.1,0.0,0.0,0.0,0.0,918.536,0.2175,1250.6,299.5,0.0,0.0,0.0,0.0,163.49,0.0,0.0,0.0,114.81,35.505,0.0,
2022-12-19 00:20:00,0.47333,0.0,0.1,0.0,0.0,0.0,640.4,0.0,0.0,0.0,0.0,0.0,375.29,0.0,0.0,0.0,0.0,0.0,0,0.0,750.75,0.0,1.1,0.0,0.0,0.0,-0.182,4.7,0.02,0.0,10.13,0.0,0.0,0.0,0.004,0.0,47.2875,99.0167,0.0,861.815,0.0,0.0,0.0,0.0,9.9,0.0,11.1,0.0,0.0,0.0,0.0,884.505,0.2175,1251.5,301.0,0.0,0.0,0.0,0.0,164.37,0.0,0.0,0.0,114.4,29.088,0.0,
2022-12-19 00:25:00,0.47333,0.0,0.1,0.0,0.0,0.0,638.8,0.0,0.0,0.0,0.0,0.0,376.36,0.0,0.0,0.0,0.0,0.0,0,0.0,750.575,0.0,1.5,0.0,0.0,0.0,-0.182,4.64,0.02,0.0,10.82,0.0,0.0,0.0,0.004,0.0,47.3062,101.417,0.0,861.25,0.0,0.0,0.0,0.0,10.1,0.0,11.1,0.0,0.0,0.0,0.0,895.708,0.2175,1251.1,300.062,0.0,0.0,0.0,0.0,163.36,0.0,0.0,0.0,114.15,38.08,0.0,
2022-12-19 00:30:00,0.47333,0.0,0.1,0.0,0.0,0.0,640.3,0.0,0.0,0.0,0.0,0.0,372.42,0.0,0.0,0.0,0.0,0.0,0,0.0,750.225,0.0,2.7,0.0,0.0,0.0,-0.182,4.695,0.02,0.0,12.62,0.0,0.0,0.0,0.004,0.0,47.3438,99.5574,0.0,860.563,0.0,0.0,0.0,0.0,9.8,0.0,11.1,0.0,0.0,0.0,0.0,883.005,0.2175,1246.4,300.438,0.0,0.0,0.0,0.0,164.56,0.0,0.0,0.0,115.01,38.008,0.0,
2022-12-19 00:35:00,0.47333,0.0,0.1,0.0,0.0,0.0,634.4,0.0,0.0,0.0,0.0,0.0,373.95,0.0,0.0,0.0,0.0,0.0,0,0.0,750.925,0.0,2.7,0.0,0.0,0.0,-0.182,4.5525,0.02,0.0,14.31,0.0,0.0,0.0,0.004,0.0,47.3062,100.508,0.0,858.29,0.0,0.0,0.0,0.0,10.0,0.0,11.1,0.0,0.0,0.0,0.0,903.155,0.2175,1242.5,298.375,0.0,0.0,0.0,0.0,163.06,0.0,0.0,0.0,115.87,38.113,0.0,
2022-12-19 00:40:00,0.47333,0.0,0.1,0.0,0.0,0.0,636.4,0.0,0.0,0.0,0.0,0.0,378.42,0.0,0.0,0.0,0.0,0.0,0,0.0,751.45,0.0,3.3,0.0,0.0,0.0,-0.182,4.5175,0.02,0.0,13.11,0.0,0.0,0.0,0.004,0.0,47.4,103.338,0.0,857.466,0.0,0.0,0.0,0.0,10.1,0.0,11.1,0.0,0.0,0.0,0.0,872.226,0.2175,1239.4,298.0,0.0,0.0,0.0,0.0,161.89,0.0,0.0,0.0,113.8,37.907,0.0,
2022-12-19 00:45:00,0.47333,0.0,0.1,0.0,0.0,0.0,636.2,0.0,0.0,0.0,0.0,0.0,386.06,0.0,0.0,0.0,0.0,0.0,0,0.0,750.225,0.0,3.8,0.0,0.0,0.0,-0.182,4.5825,0.02,0.0,11.13,0.0,0.0,0.0,0.004,0.0,47.325,115.626,0.0,858.87,0.0,0.0,0.0,0.0,10.4,0.0,11.1,0.0,0.0,0.0,0.0,868.739,0.2175,1239.6,299.125,0.0,0.0,0.0,0.0,164.8,0.0,0.0,0.0,113.69,38.085,0.0,
