SETTLEMENTDATE,B2PS,BARCALDN,BARCSF,BARRON,BLUEGSF,BRAEMARA,CALLIDE,CALLIDEC,CHILDSF,CLARESF,CLERMSF,COLUMSF,COOPGWF,CPSA,CSPVPS,DAYDSF,DDPS1,DDSF,DG_QLD1,EMERASF,G/STONE,GANGARR,GERMCRK,HAMISF,HAUGHT11,HAYMSF,HUGSF,KAREEYA,KEPBG,KEPSF,KEPWF,KOGANCK,KS,LILYSF,LRSF,MARYRSF,MBAHNTH,MEWF,MIDDLSF,MILLMERN,MSTUART,NETIC,OAKEY,OAKEYSF,PIONEER,ROMA,RPCG,RRSF,RUGBYR1,SMCSF,SRSF,STANWELL,SWANBANK,TARONG,TARONGN,WANDB1,WARWSF,WDGPH,WHITSF,WIVENHOE,WOOLGSF,YABULU,YARANSF,YARWUN,KABANWF,MOUSF,NEV,EDENVSF
2023-02-02 00:00:00,1.21859,0.0,0.1,66.52,0.0,0.0,281.0,0.0,0.0,0.0,0.0,0.0,243.08,0.0,0.0,0.0,363.283,0.0,0,0.0,1205.75,0.0,24.6,0.0,0.0,0.0,2.559,85.9575,0.0,0.0,0.0,656.139,0.0,0.0,0.042,0.0,42.15,41.1791,0.0,866.545,0.0,0.0,0.0,0.0,-0.4,0.0,11.2,0.0,0.0,0.0,0.0,1336.47,310.644,1359.0,200.688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.99,4.191,0.0,,0.0
2023-02-02 00:05:00,1.21859,0.0,0.1,66.52,0.0,0.0,276.7,0.0,0.0,0.0,0.0,0.0,238.19,0.0,0.0,0.0,389.554,0.0,0,0.0,1177.57,0.0,24.9,0.0,0.0,0.0,2.559,85.7825,0.0,0.0,0.0,646.89,0.0,0.0,0.042,0.0,44.4375,49.6681,0.0,862.242,0.0,0.0,0.0,0.0,-0.2,0.0,12.3,0.0,0.0,0.0,0.0,1264.31,311.442,1353.6,198.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.38,6.831,0.0,,0.0
2023-02-02 00:10:00,1.21859,0.0,0.1,66.52,0.0,0.0,277.9,0.0,0.0,0.0,0.0,0.0,242.02,0.0,0.0,0.0,389.459,0.0,0,0.0,1145.55,0.0,25.1,0.0,0.0,0.0,2.559,85.755,0.0,0.0,0.0,651.406,0.0,0.0,0.042,0.0,44.3625,42.7622,0.0,862.028,0.0,0.0,0.0,0.0,-0.2,0.0,12.3,0.0,0.0,0.0,0.0,1202.08,313.236,1353.6,199.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.09,6.219,0.0,,0.0
2023-02-02 00:15:00,1.21859,0.0,0.1,66.52,0.0,0.0,278.0,0.0,0.0,0.0,0.0,0.0,244.72,0.0,0.0,0.0,391.035,0.0,0,0.0,1136.45,0.0,24.5,0.0,0.0,0.0,2.559,85.685,0.0,0.0,0.0,652.95,0.0,0.0,0.042,0.0,42.7312,38.0662,0.0,867.705,0.0,0.0,0.0,0.0,-0.2,0.0,12.3,0.0,0.0,0.0,0.0,1140.44,329.186,1346.5,198.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.53,5.731,0.0,,0.0
2023-02-02 00:20:00,1.21859,0.0,0.1,66.52,0.0,0.0,278.2,0.0,0.0,0.0,0.0,0.0,225.13,0.0,0.0,0.0,391.364,0.0,0,0.0,1138.55,0.0,23.4,0.0,0.0,0.0,2.559,85.71,0.0,0.0,0.0,651.624,0.0,0.0,0.042,0.0,43.0125,38.0252,0.0,869.414,0.0,0.0,0.0,0.0,-0.2,0.0,12.3,0.0,0.0,0.0,0.0,1081.89,320.214,1354.6,199.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.43,1.774,0.0,,0.0
2023-02-02 00:25:00,1.21859,0.0,0.1,66.28,0.0,0.0,278.6,0.0,0.0,0.0,0.0,0.0,216.07,0.0,0.0,0.0,390.757,0.0,0,0.0,1143.28,0.0,21.6,0.0,0.0,0.0,2.559,85.6575,0.0,0.0,0.0,650.852,0.0,0.0,0.042,0.0,43.8188,40.2698,0.0,870.543,0.0,0.0,0.0,0.0,-0.2,0.0,12.3,0.0,0.0,0.0,0.0,1060.53,324.999,1350.9,198.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.84,4.776,0.0,,0.0
2023-02-02 00:30:00,1.21859,0.0,0.1,66.28,0.0,0.0,277.8,0.0,0.0,0.0,0.0,0.0,228.11,0.0,0.0,0.0,389.449,0.0,0,0.0,1138.72,0.0,21.5,0.0,0.0,0.0,2.559,85.75,0.0,0.0,0.0,651.288,0.0,0.0,0.042,0.0,43.2,48.64,0.0,869.032,0.0,0.0,0.0,0.0,-0.2,0.0,12.3,0.0,0.0,0.0,0.0,1045.34,301.074,1347.8,199.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.68,5.397,0.0,,0.0
2023-02-02 00:35:00,1.21859,0.0,0.1,66.28,0.0,0.0,279.5,0.0,0.0,0.0,0.0,0.0,238.93,0.0,0.0,0.0,393.004,0.0,0,0.0,1145.2,0.0,22.1,0.0,0.0,0.0,2.559,85.7475,0.0,0.0,0.0,651.624,0.0,0.0,0.042,0.0,42.4313,53.1374,0.0,870.009,0.0,0.0,0.0,0.0,-0.2,0.0,12.3,0.0,0.0,0.0,0.0,1050.68,303.068,1348.7,198.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.84,5.329,0.0,,0.0
2023-02-02 00:40:00,1.21859,0.0,0.1,66.28,0.0,0.0,278.1,0.0,0.0,0.0,0.0,0.0,232.5,0.0,0.0,0.0,363.76,0.0,0,0.0,1139.95,0.0,21.9,0.0,0.0,0.0,2.559,85.7225,0.0,0.0,0.0,650.969,0.0,0.0,0.042,0.0,43.875,49.3834,0.0,865.706,0.0,0.0,0.0,0.0,-0.2,0.0,12.3,0.0,0.0,0.0,0.0,1043.71,299.878,1347.7,199.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.53,3.469,0.0,,0.0
2023-02-02 00:45:00,1.21859,0.0,0.1,66.28,0.0,0.0,280.1,0.0,0.0,0.0,0.0,0.0,238.69,0.0,0.0,0.0,363.504,0.0,0,0.0,1141.0,0.0,21.7,0.0,0.0,0.0,2.559,85.735,0.0,0.0,0.0,653.705,0.0,0.0,0.042,0.0,42.3562,41.2733,0.0,864.409,0.0,0.0,0.0,0.0,-0.2,0.0,12.3,0.0,0.0,0.0,0.0,1051.33,303.666,1351.9,199.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.62,2.509,0.0,,0.0
2023-02-02 00:50:00,1.21859,0.0,0.1,66.28,0.0,0.0,276.8,0.0,0.0,0.0,0.0,0.0,226.44,0.0,0.0,0.0,359.021,0.0,0,0.0,1139.78,0.0,22.0,0.0,0.0,0.0,2.559,85.56,0.0,0.0,0.0,646.672,0.0,0.0,0.042,0.0,42.5813,38.9816,0.0,863.081,0.0,0.0,0.0,0.0,-0.2,0.0,13.8,0.0,0.0,0.0,0.0,1039.43,296.688,1342.4,197.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.99,2.508,0.0,,0.0
2023-02-02 00:55:00,1.21859,0.0,0.1,66.28,0.0,0.0,279.0,0.0,0.0,0.0,0.0,0.0,225.73,0.0,0.0,0.0,358.7,0.0,0,0.0,1142.05,0.0,21.9,0.0,0.0,0.0,2.559,85.6625,0.0,0.0,0.0,651.624,0.0,0.0,0.042,0.0,43.2188,43.9276,0.0,867.156,0.0,0.0,0.0,0.0,-0.2,0.0,12.5,0.0,0.0,0.0,0.0,1050.16,302.271,1351.8,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.84,4.201,0.0,,0.0
2023-02-02 01:00:00,1.21859,0.0,0.1,66.28,0.0,0.0,278.4,0.0,0.0,0.0,0.0,0.0,215.47,0.0,0.0,0.0,359.788,0.0,0,0.0,1171.28,0.0,22.2,0.0,0.0,0.0,2.559,85.7025,0.0,0.0,0.0,652.06,0.0,0.0,0.042,0.0,43.3687,41.6154,0.0,865.569,0.0,0.0,0.0,0.0,-0.2,0.0,12.5,0.0,0.0,0.0,0.0,1045.27,304.464,1351.2,200.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.68,3.113,0.0,,0.0
