SETTLEMENTDATE,B2PS,BARCALDN,BARCSF,BARRON,BLUEGSF,BRAEMARA,CALLIDE,CALLIDEC,CHILDSF,CLARESF,CLERMSF,COLUMSF,COOPGWF,CPSA,CSPVPS,DAYDSF,DDPS1,DDSF,DG_QLD1,EMERASF,G/STONE,GANGARR,GERMCRK,HAMISF,HAUGHT11,HAYMSF,HUGSF,KAREEYA,KEPBG,KEPSF,KEPWF,KOGANCK,KS,LILYSF,LRSF,MARYRSF,MBAHNTH,MEWF,MIDDLSF,MILLMERN,MSTUART,NETIC,OAKEY,OAKEYSF,PIONEER,ROMA,RPCG,RRSF,RUGBYR1,SMCSF,SRSF,STANWELL,SWANBANK,TARONG,TARONGN,WANDB1,WARWSF,WDGPH,WHITSF,WIVENHOE,WOOLGSF,YABULU,YARANSF,YARWUN,KABANWF,MOUSF,NEV,EDENVSF,WANDSF
2023-04-03 00:00:00,0.16114,0.0,0.1,66.88,0.0,0.0,491.4,0.0,0.0,0.0,0.0,0.0,243.65,0.0,0.0,0.0,0.0,0.0,0,0.0,614.425,0.0,18.2,0.0,0.0,0.0,-0.173,86.1225,0.0,0.0,12.11,752.704,0.0,0.0,0.037,0.0,39.0375,2.0,0.0,698.769,0.0,222.929992676,0.0,0.0,-0.4,0.64968,-0.2,0.0,0.0,0.0,0.0,1454.5,0.2175,1073.6,-1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.3,12.663,0.0,,0.0,0.0
2023-04-03 00:05:00,0.16114,0.0,0.1,66.88,0.0,0.0,494.9,0.0,0.0,0.0,0.0,0.0,257.52,0.0,0.0,0.0,0.0,0.0,0,0.0,613.2,0.0,18.2,0.0,0.0,0.0,-0.173,86.09,0.0,0.0,13.24,748.206,0.0,0.0,0.037,0.0,38.8688,2.0,0.0,696.923,0.0,255.330001831,0.0,0.0,-0.4,0.64968,-0.2,0.0,0.0,0.0,0.0,1432.03,0.2175,1064.0,-1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.21,12.519,0.0,,0.0,0.0
2023-04-03 00:10:00,0.16114,0.0,0.1,66.88,0.0,0.0,487.3,0.0,0.0,0.0,0.0,0.0,274.29,0.0,0.0,0.0,0.0,0.0,0,0.0,611.275,0.0,18.5,0.0,0.0,0.0,-0.173,85.6375,0.0,0.0,12.76,752.604,0.0,0.0,0.037,0.0,37.275,2.0,0.0,695.61,0.0,287.350006104,0.0,0.0,-0.4,0.64968,-0.2,0.0,0.0,0.0,0.0,1398.13,0.2175,1040.4,-1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.81,10.811,0.0,,0.0,0.0
2023-04-03 00:15:00,0.16114,0.0,0.1,66.88,0.0,0.0,492.8,0.0,0.0,0.0,0.0,0.0,293.6,0.0,0.0,0.0,0.0,0.0,0,0.0,614.6,0.0,18.8,0.0,0.0,0.0,-0.173,85.5825,0.0,0.0,13.35,754.802,0.0,0.0,0.037,0.0,38.0625,3.99398,0.0,707.024,0.0,155.300003052,0.0,0.0,-0.4,0.64968,-0.2,0.0,0.0,0.0,0.0,1388.55,0.2175,1049.0,-1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.9,10.257,0.0,,0.0,0.0
2023-04-03 00:20:00,0.16114,0.0,0.1,66.88,0.0,0.0,497.1,0.0,0.0,0.0,0.0,0.0,289.03,0.0,0.0,0.0,0.0,0.0,0,0.0,597.8,0.0,18.3,0.0,0.0,0.0,-0.173,86.3575,0.0,0.0,14.65,753.158,0.0,0.0,0.037,0.0,38.925,7.1337,0.0,695.809,0.0,142.729995728,0.0,0.0,-0.4,0.64968,-0.2,0.0,0.0,0.0,0.0,1370.33,0.2175,1048.0,-1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.55,9.561,0.0,,0.0,0.0
2023-04-03 00:25:00,0.16114,0.0,0.1,66.88,0.0,0.0,496.1,0.0,0.0,0.0,0.0,0.0,278.22,0.0,0.0,0.0,0.0,0.0,0,0.0,601.3,0.0,18.6,0.0,0.0,0.0,-0.173,86.19,0.0,0.0,14.07,758.865,0.0,0.0,0.037,0.0,37.8938,8.0,0.0,695.031,0.0,201.38999939,0.0,0.0,-0.4,0.64968,-0.2,0.0,0.0,0.0,0.0,1353.59,0.2175,1048.8,-1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.36,9.482,0.0,,0.0,0.0
2023-04-03 00:30:00,0.16114,0.0,0.1,66.88,0.0,0.0,495.6,0.0,0.0,0.0,0.0,0.0,279.76,0.0,0.0,0.0,0.0,0.0,0,0.0,603.225,0.0,18.4,0.0,0.0,0.0,-0.173,85.975,0.0,0.0,13.65,758.982,0.0,0.0,0.037,0.0,38.7188,7.0,0.0,696.557,0.0,84.5400009155,0.0,0.0,-0.4,0.64968,-0.2,0.0,0.0,0.0,0.0,1351.77,0.2175,1050.2,-1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.86,7.937,0.0,,0.0,0.0
2023-04-03 00:35:00,0.16114,0.0,0.1,66.88,0.0,0.0,498.7,0.0,0.0,0.0,0.0,0.0,288.65,0.0,0.0,0.0,0.0,0.0,0,0.0,611.45,0.0,18.1,0.0,0.0,0.0,-0.173,72.5125,0.0,0.0,14.12,757.22,0.0,0.0,0.037,0.0,37.4625,6.0,0.0,694.436,0.0,92.5,0.0,0.0,-0.4,0.64968,-0.2,0.0,0.0,0.0,0.0,1344.73,0.2175,1050.2,-1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.09,7.191,0.0,,0.0,0.0
2023-04-03 00:40:00,0.16114,0.0,0.1,66.88,0.0,0.0,499.4,0.0,0.0,0.0,0.0,0.0,298.29,0.0,0.0,0.0,0.0,0.0,0,0.0,612.5,0.0,18.9,0.0,0.0,0.0,-0.173,72.05,0.0,0.0,18.77,761.181,0.0,0.0,0.037,0.0,38.3625,6.0,0.0,693.871,0.0,138.339996338,0.0,0.0,-0.4,0.64968,-0.2,0.0,0.0,0.0,0.0,1336.76,0.2175,1053.0,-1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.64,7.838,0.0,,0.0,0.0
2023-04-03 00:45:00,0.16114,0.0,0.1,66.88,0.0,0.0,494.4,0.0,0.0,0.0,0.0,0.0,302.11,0.0,0.0,0.0,0.0,0.0,0,0.0,617.05,0.0,18.6,0.0,0.0,0.0,-0.173,71.31,0.0,0.0,17.43,758.327,0.0,0.0,0.037,0.0,38.7937,6.0,0.0,694.054,0.0,154.710006714,0.0,0.0,-0.4,0.64968,-0.2,0.0,0.0,0.0,0.0,1329.89,0.2175,1047.7,-1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.25,9.096,0.0,,0.0,0.0
2023-04-03 00:50:00,0.16114,0.0,0.1,66.88,0.0,0.0,493.0,0.0,0.0,0.0,0.0,0.0,302.5,0.0,0.0,0.0,0.0,0.0,0,0.0,620.55,0.0,18.7,0.0,0.0,0.0,-0.173,71.58,0.0,0.0,17.36,760.845,0.0,0.0,0.037,0.0,39.9375,6.22106,0.0,695.214,0.0,96.5,0.0,0.0,-0.4,0.64968,-0.2,0.0,0.0,0.0,0.0,1334.47,0.2175,1045.7,-1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.26,9.169,0.0,,0.0,0.0
2023-04-03 00:55:00,0.16114,0.0,0.1,66.88,0.0,0.0,499.5,0.0,0.0,0.0,0.0,0.0,302.2,0.0,0.0,0.0,0.0,0.0,0,0.0,622.3,0.0,18.9,0.0,0.0,0.0,-0.173,72.2825,0.0,0.0,25.17,763.715,0.0,0.0,0.037,0.0,37.0312,4.02163,0.0,695.839,0.0,85.6100006104,0.0,0.0,-0.4,0.64968,-0.2,0.0,0.0,0.0,0.0,1343.63,0.2175,1049.2,-1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.35,7.904,0.0,,0.0,0.0
2023-04-03 01:00:00,0.16114,0.0,0.1,66.88,0.0,0.0,495.6,0.0,0.0,0.0,0.0,0.0,304.46,0.0,0.0,0.0,0.0,0.0,0,0.0,623.525,0.0,18.6,0.0,0.0,0.0,-0.173,71.9225,0.0,0.0,23.09,767.458,0.0,0.0,0.037,0.0,38.2125,3.02157,0.0,694.863,0.0,79.6200027466,0.0,0.0,-0.4,0.64968,-0.2,0.0,0.0,0.0,0.0,1337.76,0.2175,1050.7,-1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.64,7.07,0.0,,0.0,0.0
2023-04-03 01:05:00,0.16114,0.0,0.1,66.88,0.0,0.0,498.1,0.0,0.0,0.0,0.0,0.0,303.04,0.0,0.0,0.0,0.0,0.0,0,0.0,627.2,0.0,18.4,0.0,0.0,0.0,-0.173,71.7675,0.0,0.0,24.5,761.953,0.0,0.0,0.037,0.0,38.2312,2.0,0.0,695.214,0.0,54.2099990845,0.0,0.0,-0.4,0.64968,-0.2,0.0,0.0,0.0,0.0,1343.63,0.2175,1049.2,-1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.5,5.595,0.0,,0.0,0.0
2023-04-03 01:10:00,0.16114,0.0,0.1,66.88,0.0,0.0,498.0,0.0,0.0,0.0,0.0,0.0,281.17,0.0,0.0,0.0,0.0,0.0,0,0.0,624.925,0.0,18.4,0.0,0.0,0.0,-0.173,71.8725,0.0,0.0,27.11,762.389,0.0,0.0,0.037,0.0,40.4062,1.0,0.0,696.114,0.0,68.7300033569,0.0,0.0,-0.4,0.64968,-0.2,0.0,0.0,0.0,0.0,1331.96,0.2175,1049.1,-1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.6,5.353,0.0,,0.0,0.0
2023-04-03 01:15:00,0.16114,0.0,0.1,66.88,0.0,0.0,490.4,0.0,0.0,0.0,0.0,0.0,278.15,0.0,0.0,0.0,0.0,0.0,0,0.0,623.875,0.0,18.5,0.0,0.0,0.0,-0.173,71.1875,0.0,0.0,27.23,761.298,0.0,0.0,0.037,0.0,37.9875,0.0,0.0,692.681,0.0,72.1800003052,0.0,0.0,-0.4,0.64968,-0.2,0.0,0.0,0.0,0.0,1322.35,0.2175,1045.3,-1.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.85,2.209,0.0,,0.0,0.0
