SETTLEMENTDATE,B2PS,BARCALDN,BARCSF,BARRON,BLUEGSF,BRAEMARA,CALLIDE,CALLIDEC,CHILDSF,CLARESF,CLERMSF,COLUMSF,COOPGWF,CPSA,CSPVPS,DAYDSF,DDPS1,DDSF,DG_QLD1,EMERASF,G/STONE,GANGARR,GERMCRK,HAMISF,HAUGHT11,HAYMSF,HUGSF,KAREEYA,KEPBG,KEPSF,KEPWF,KOGANCK,KS,LILYSF,LRSF,MARYRSF,MBAHNTH,MEWF,MIDDLSF,MILLMERN,MSTUART,NETIC,OAKEY,OAKEYSF,PIONEER,ROMA,RPCG,RRSF,RUGBYR1,SMCSF,SRSF,STANWELL,SWANBANK,TARONG,TARONGN,WANDB1,WARWSF,WDGPH,WHITSF,WIVENHOE,WOOLGSF,YABULU,YARANSF,YARWUN,KABANWF,MOUSF,NEV,EDENVSF,WANDSF,DULAWF
2023-05-05 00:00:00,122.322,0.0,0.0,56.56,0.0,0.0,319.3,0.0,0.0,0.0,0.0,0.0,42.11,87.5025,0.0,0.0,252.168,0.0,0,0.0,1201.55,0.0,5.7,0.0,0.0,0.0,-0.226,71.145,0.0,0.0,27.28,599.372,0.0,0.0,-0.03,0.0,38.3062,124.572,0.0,434.585,0.0,0.0,0.0,0.0,-0.2,0.8121,-0.2,0.0,0.0,0.0,0.0,1281.69,210.159,1395.4,-1.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.91,57.513,0.0,,0.0,0.0,29.8
2023-05-05 00:05:00,154.691,0.0,0.0,56.56,0.0,0.0,317.9,0.0,0.0,0.0,0.0,0.0,45.22,87.5025,0.0,0.0,251.98,0.0,0,0.0,1152.2,0.0,5.6,0.0,0.0,0.0,-0.226,71.085,0.0,0.0,27.3,599.372,0.0,0.0,-0.03,0.0,38.7563,122.257,0.0,433.151,0.0,0.0,0.0,0.0,-0.2,0.8121,-0.2,0.0,0.0,0.0,0.0,1217.92,189.225,1394.3,-1.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.84,53.309,0.0,,0.0,0.0,29.7
2023-05-05 00:10:00,155.265,0.0,0.0,55.96,0.0,0.0,320.6,0.0,0.0,0.0,0.0,0.0,46.2,87.5025,0.0,0.0,254.406,0.0,0,0.0,1151.15,0.0,5.7,0.0,0.0,0.0,-0.226,71.355,0.01,0.0,25.25,604.541,0.0,0.0,-0.03,0.0,37.1438,117.268,0.0,435.027,0.0,0.0,0.0,0.0,-0.2,0.8121,-0.2,0.0,0.0,0.0,0.0,1153.26,220.726,1398.5,-1.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.86,53.137,0.0,,0.0,0.0,29.8
2023-05-05 00:15:00,155.879,0.0,0.0,56.36,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,47.25,88.5375,0.0,0.0,253.055,0.0,0,0.0,1152.2,0.0,5.7,0.0,0.0,0.0,-0.226,71.4425,0.01,0.0,25.14,603.333,0.0,0.0,-0.03,0.0,33.8625,119.845,0.0,434.783,0.0,0.0,0.0,0.0,-0.2,0.8121,-0.2,0.0,0.0,0.0,0.0,1087.86,216.739,1397.0,-1.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.55,53.348,0.0,,0.0,0.0,29.9
2023-05-05 00:20:00,137.177,0.0,0.0,56.36,0.0,0.0,316.9,0.0,0.0,0.0,0.0,0.0,48.31,88.5375,0.0,0.0,255.196,0.0,0,0.0,1199.1,0.0,5.7,0.0,0.0,0.0,-0.226,71.3325,0.01,0.0,25.18,604.659,0.0,0.0,-0.03,0.0,40.2937,120.59,0.0,434.371,0.0,0.0,0.0,0.0,-0.2,0.8121,-0.2,0.0,0.0,0.0,0.0,1028.5,169.287,1396.4,-1.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.3,52.214,0.0,,0.0,0.0,29.7
2023-05-05 00:25:00,122.937,0.0,0.0,56.36,0.0,0.0,320.1,0.0,0.0,0.0,0.0,0.0,53.96,88.5375,0.0,0.0,258.434,0.0,0,0.0,1201.2,0.0,6.2,0.0,0.0,0.0,-0.226,72.1075,0.01,0.0,25.3,603.333,0.0,0.0,-0.03,0.0,37.0687,124.199,0.0,435.699,0.0,0.0,0.0,0.0,-0.2,0.8121,-0.2,0.0,0.0,0.0,0.0,1025.65,169.686,1402.6,-1.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.7,52.295,0.0,,0.0,0.0,29.5
2023-05-05 00:30:00,152.485,0.0,0.0,56.36,0.0,0.0,317.0,0.0,0.0,0.0,0.0,0.0,57.47,88.5375,0.0,0.0,252.152,0.0,0,0.0,1202.25,0.0,7.2,0.0,0.0,0.0,-0.226,71.2975,0.01,0.0,25.13,596.065,0.0,0.0,-0.03,0.0,33.9,120.914,0.0,435.256,0.0,0.0,0.0,0.0,-0.2,0.8121,-0.2,0.0,0.0,0.0,0.0,1014.35,169.886,1391.5,-1.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.6,52.149,0.0,,0.0,0.0,29.6
2023-05-05 00:35:00,108.676,0.0,0.0,55.88,0.0,0.0,317.4,0.0,0.0,0.0,0.0,0.0,65.0,88.5375,0.0,0.0,258.689,0.0,0,0.0,1202.07,0.0,8.4,0.0,0.0,0.0,-0.226,71.8525,0.01,0.0,25.22,605.313,0.0,0.0,-0.03,0.0,38.7375,123.0,0.0,435.195,0.0,0.0,0.0,0.0,-0.2,0.8121,-0.2,0.0,0.0,0.0,0.0,1017.3,169.886,1398.1,-1.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.31,54.179,0.0,,0.0,0.0,29.7
2023-05-05 00:40:00,81.3737,0.0,0.0,55.88,0.0,0.0,320.2,0.0,0.0,0.0,0.0,0.0,69.75,88.5375,0.0,0.0,259.884,0.0,0,0.0,1202.07,0.0,8.3,0.0,0.0,0.0,-0.226,72.15,0.01,0.0,25.16,610.148,0.0,0.0,-0.03,0.0,36.0188,122.442,0.0,435.043,0.0,0.0,0.0,0.0,-0.2,0.8121,-0.2,0.0,0.0,0.0,0.0,984.638,168.689,1398.1,-1.0625,55.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.31,50.846,0.0,,0.0,0.0,29.4
2023-05-05 00:45:00,37.0009,0.0,0.0,56.76,0.0,0.0,318.3,0.0,0.0,0.0,0.0,0.0,73.93,88.5375,0.0,0.0,258.922,0.0,0,0.0,1202.07,0.0,9.4,0.0,0.0,0.0,-0.226,72.1225,0.01,0.0,25.18,605.196,0.0,0.0,-0.03,0.0,35.5875,113.799,0.0,435.531,0.0,0.0,0.0,0.0,-0.2,0.8121,-0.2,0.0,0.0,0.0,0.0,988.483,224.514,1398.4,-1.0625,0.05126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.54,51.196,0.0,,0.0,0.0,29.4
