SETTLEMENTDATE,B2PS,BARCALDN,BARCSF,BARRON,BLUEGSF,BRAEMARA,CALLIDE,CALLIDEC,CHILDSF,CLARESF,CLERMSF,COLUMSF,COOPGWF,CPSA,CSPVPS,DAYDSF,DDPS1,DDSF,DG_QLD1,EMERASF,G/STONE,GANGARR,GERMCRK,HAMISF,HAUGHT11,HAYMSF,HUGSF,KAREEYA,KEPBG,KEPSF,KEPWF,KOGANCK,KS,LILYSF,LRSF,MARYRSF,MBAHNTH,MEWF,MIDDLSF,MILLMERN,MSTUART,NETIC,OAKEY,OAKEYSF,PIONEER,ROMA,RPCG,RRSF,RUGBYR1,SMCSF,SRSF,STANWELL,SWANBANK,TARONG,TARONGN,WANDB1,WARWSF,WDGPH,WHITSF,WIVENHOE,WOOLGSF,YABULU,YARANSF,YARWUN,KABANWF,MOUSF,NEV,EDENVSF,WANDSF,DULAWF,BBATTERY,CHBESS,WDBESS
2024-05-27 00:00:00,0.2115,0.0,0.0,0.0,0.0,0.0,542.1,428.725,0.0,0.0,0.0,0.0,61.71,0.0,0.0,0.0,0.0,0.0,0,0.0,720.508,0.0,21.405,0.0,0.0,0.0,-0.21,86.1975,0.0,0.0,30.09,601.906,0.0,0.0,0.024,0.0,54.525,122.335,0.0,784.389,0.0,0.0,0.0,0.0,24.6,0.0,-0.2,0.0,0.0,0.0,0.0,1058.81,-0.58,919.0,398.5,0.0,0.0,0.0,0.0,165.17,0.0,0.0,0.0,160.36,113.728,0.0,,0.0,0.0,2.5,0.0,-0.06568,
2024-05-27 00:05:00,0.2115,0.0,0.0,0.0,0.0,0.0,544.3,427.9,0.0,0.0,0.0,0.0,65.19,0.0,0.0,0.0,0.0,0.0,0,0.0,659.094,0.0,20.742,0.0,0.0,0.0,-0.21,86.2725,0.0,0.0,30.32,639.857,0.0,0.0,0.024,0.0,54.9187,120.902,0.0,786.022,0.0,0.0,0.0,0.0,24.8,0.0,-0.2,0.0,0.0,0.0,0.0,1066.88,-0.58,933.2,402.437,0.0,0.0,0.0,0.0,167.86,0.0,0.0,0.0,160.05,114.483,0.0,,0.0,0.0,2.1,0.0,0.0,
2024-05-27 00:10:00,0.2115,0.0,0.0,0.0,0.0,0.0,544.3,429.0,0.0,0.0,0.0,0.0,73.75,0.0,0.0,0.0,0.0,0.0,0,0.0,657.207,0.0,20.752,0.0,0.0,0.0,-0.21,86.41,0.0,0.0,30.28,648.317,0.0,0.0,0.024,0.0,54.5625,128.041,0.0,785.03,0.0,0.0,0.0,0.0,24.7,0.0,-0.2,0.0,0.0,0.0,0.0,1092.03,-0.58,934.4,400.938,0.0,0.0,0.0,0.0,165.44,0.0,0.0,0.0,158.59,109.501,0.0,,0.0,0.0,3.1,0.0,0.2544,
2024-05-27 00:15:00,0.2115,0.0,0.0,0.0,0.0,0.0,540.9,427.625,0.0,0.0,0.0,0.0,70.79,0.0,0.0,0.0,0.0,0.0,0,0.0,647.138,0.0,21.032,0.0,0.0,0.0,-0.21,85.9475,0.0,0.0,30.21,647.008,0.0,0.0,0.024,0.0,55.0125,125.612,0.0,786.602,0.0,0.0,0.0,0.0,24.9,0.0,-0.2,0.0,0.0,0.0,0.0,1058.67,-0.58,908.3,394.938,0.0,0.0,0.0,0.0,161.37,0.0,0.0,0.0,158.59,104.046,0.0,,0.0,0.0,2.0,-0.89554,-0.65677,
2024-05-27 00:20:00,0.2115,0.0,0.0,0.0,0.0,0.0,543.6,428.725,0.0,0.0,0.0,0.0,67.79,0.0,0.0,0.0,0.0,0.0,0,0.0,591.015,0.0,20.877,0.0,0.0,0.0,-0.21,85.9225,0.0,0.0,30.33,654.914,0.0,0.0,0.024,0.0,54.9,130.912,0.0,790.142,0.0,0.0,0.0,0.0,24.7,0.0,-0.2,0.0,0.0,0.0,0.0,1076.95,-0.58,930.3,401.125,0.0,0.0,0.0,0.0,163.59,0.0,0.0,0.0,159.19,101.76,0.0,,0.0,0.0,2.8,7.51798,0.07729,
2024-05-27 00:25:00,0.2115,0.0,0.0,0.0,0.0,0.0,543.8,424.875,0.0,0.0,0.0,0.0,67.79,0.0,0.0,0.0,0.0,0.0,0,0.0,609.622,0.0,21.05,0.0,0.0,0.0,-0.21,86.035,0.0,0.0,30.19,653.705,0.0,0.0,0.024,0.0,55.0125,127.189,0.0,790.798,0.0,0.0,0.0,0.0,24.9,0.0,-0.2,0.0,0.0,0.0,0.0,1066.22,-0.58,928.3,400.75,0.0,0.0,0.0,0.0,165.29,0.0,0.0,0.0,159.75,108.761,0.0,,0.0,0.0,3.1,0.0,0.0,
2024-05-27 00:30:00,0.2115,0.0,0.0,0.0,0.0,0.0,541.8,427.075,0.0,0.0,0.0,0.0,68.77,0.0,0.0,0.0,0.0,0.0,0,0.0,631.791,0.0,21.155,0.0,0.0,0.0,-0.21,85.96,0.0,0.0,30.21,646.336,0.0,0.0,0.024,0.0,54.975,120.312,0.0,788.479,0.0,0.0,0.0,0.0,24.7,0.0,-0.2,0.0,0.0,0.0,0.0,1050.21,-0.58,911.5,395.312,0.0,0.0,0.0,0.0,161.61,0.0,0.0,0.0,159.8,98.491,0.0,,0.0,0.0,3.3,0.0,-0.72727,
2024-05-27 00:35:00,0.2115,0.0,0.0,0.0,0.0,0.0,545.1,429.275,0.0,0.0,0.0,0.0,67.75,0.0,0.0,0.0,0.0,0.0,0,0.0,576.96,0.0,20.595,0.0,0.0,0.0,-0.21,86.3925,0.0,0.0,30.28,661.527,0.0,0.0,0.024,0.0,54.9375,131.219,0.0,790.386,0.0,0.0,0.0,0.0,24.7,0.0,-0.2,0.0,0.0,0.0,0.0,1097.79,-0.58,930.6,403.0,1.76424,0.0,0.0,0.0,168.9,0.0,0.0,0.0,158.29,98.531,0.0,,0.0,0.0,2.9,1.79631,1.20193,
2024-05-27 00:40:00,0.2115,0.0,0.0,0.0,0.0,0.0,543.6,428.175,0.0,0.0,0.0,0.0,65.83,0.0,0.0,0.0,0.0,0.0,0,0.0,567.424,0.0,21.32,0.0,0.0,0.0,-0.21,86.2625,0.0,0.0,30.2,650.197,0.0,0.0,0.024,0.0,54.9563,125.424,0.0,788.83,0.0,0.0,0.0,0.0,24.6,0.0,-0.2,0.0,0.0,0.0,0.0,1063.97,-0.58,922.7,401.312,0.0,0.0,0.0,0.0,163.87,0.0,0.0,0.0,160.1,100.751,0.0,,0.0,0.0,3.0,0.0,-0.07167,
2024-05-27 00:45:00,0.2115,0.0,0.0,0.0,0.0,0.0,542.9,428.175,0.0,0.0,0.0,0.0,62.08,0.0,0.0,0.0,0.0,0.0,0,0.0,560.95,0.0,20.984,0.0,0.0,0.0,-0.21,85.785,0.0,0.0,30.29,652.06,0.0,0.0,0.024,0.0,54.9563,123.126,0.0,788.692,0.0,0.0,0.0,0.0,24.6,0.0,-0.2,0.0,0.0,0.0,0.0,1061.43,-0.58,921.9,398.875,0.0,0.0,0.0,0.0,163.68,0.0,0.0,0.0,160.66,87.096,0.0,,0.0,0.0,2.9,-0.92148,-0.54186,
2024-05-27 00:50:00,0.2115,0.0,0.0,0.0,0.0,0.0,543.0,427.35,0.0,0.0,0.0,0.0,55.08,0.0,0.0,0.0,0.0,0.0,0,0.0,551.804,0.0,21.096,0.0,0.0,0.0,-0.21,85.9625,0.0,0.0,30.14,653.386,0.0,0.0,0.024,0.0,54.5437,135.34,0.0,789.791,0.0,0.0,0.0,0.0,24.7,0.0,-0.2,0.0,0.0,0.0,0.0,1063.85,-0.58,921.0,399.438,0.0,0.0,0.0,0.0,163.88,0.0,0.0,0.0,159.35,91.446,0.0,,0.0,0.0,2.4,0.0,0.0,
2024-05-27 00:55:00,0.2115,0.0,0.0,0.0,0.0,0.0,543.7,429.825,0.0,0.0,0.0,0.0,51.86,0.0,0.0,0.0,0.0,0.0,0,0.0,534.898,0.0,21.035,0.0,0.0,0.0,-0.21,85.8975,0.0,0.0,30.06,651.96,0.0,0.0,0.024,0.0,54.9375,131.432,0.0,790.951,0.0,0.0,0.0,0.0,24.9,0.0,-0.2,0.0,0.0,0.0,0.0,1062.07,-0.58,922.4,399.812,0.0,0.0,0.0,0.0,163.84,0.0,0.0,0.0,159.19,81.457,0.0,,0.0,0.0,3.7,0.0,0.0,
2024-05-27 01:00:00,0.2115,0.0,0.0,0.0,0.0,0.0,543.7,429.825,0.0,0.0,0.0,0.0,50.7,0.0,0.0,0.0,0.0,0.0,0,0.0,551.469,0.0,21.081,0.0,0.0,0.0,-0.21,85.97,0.0,0.0,30.2,653.487,0.0,0.0,0.024,0.0,55.0125,131.94,0.0,791.149,0.0,0.0,0.0,0.0,24.3,0.0,-0.2,0.0,0.0,0.0,0.0,1068.5,-0.58,926.3,400.938,0.0,0.0,0.0,0.0,164.23,0.0,0.0,0.0,159.4,75.254,0.0,,0.0,0.0,5.4,0.02338,0.05828,
2024-05-27 01:05:00,0.2115,0.0,0.0,0.0,0.0,0.0,544.7,429.0,0.0,0.0,0.0,0.0,48.18,0.0,0.0,0.0,0.0,0.0,0,0.0,489.214,0.0,20.825,0.0,0.0,0.0,-0.21,85.92,0.0,0.0,30.1,654.041,0.0,0.0,0.024,0.0,54.525,130.933,0.0,790.05,0.0,0.0,0.0,0.0,24.3,0.0,-0.2,0.0,0.0,0.0,0.0,1079.43,-0.58,969.6,399.438,7.71031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.59,75.028,0.0,,0.0,0.0,6.4,-0.50498,-0.15253,
2024-05-27 01:10:00,0.2115,0.0,0.0,0.0,0.0,0.0,542.5,427.625,0.0,0.0,0.0,0.0,45.24,0.0,0.0,0.0,0.0,0.0,0,0.0,444.876,0.0,21.147,0.0,0.0,0.0,-0.21,85.9025,0.0,0.0,30.23,684.624,0.0,0.0,0.024,0.0,54.9187,127.169,0.0,787.578,0.0,0.0,0.0,0.0,24.5,0.0,-0.2,0.0,0.0,0.0,0.0,1074.58,-0.58,917.5,397.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.41,82.683,0.0,,0.0,0.0,8.7,-0.30953,-0.05905,
2024-05-27 01:15:00,0.2115,0.0,0.0,0.0,0.0,0.0,544.4,427.9,0.0,0.0,0.0,0.0,45.36,0.0,0.0,0.0,0.0,0.0,0,0.0,452.033,0.0,21.24,0.0,0.0,0.0,-0.21,86.3275,0.0,0.0,30.18,705.185,0.0,0.0,0.024,0.0,54.9,133.05,0.0,789.745,0.0,0.0,0.0,0.0,24.7,0.0,-0.2,0.0,0.0,0.0,0.0,1075.4,-0.58,929.1,402.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.34,80.673,0.0,,0.0,0.0,12.9,0.16543,0.09459,
2024-05-27 01:20:00,0.2115,0.0,0.0,0.0,0.0,0.0,542.5,426.8,0.0,0.0,0.0,0.0,46.07,0.0,0.0,0.0,0.0,0.0,0,0.0,437.773,0.0,20.732,0.0,0.0,0.0,-0.21,86.0325,0.0,0.0,30.19,699.243,0.0,0.0,0.024,0.0,54.9187,137.028,0.0,789.287,0.0,0.0,0.0,0.0,24.8,0.0,-0.2,0.0,0.0,0.0,0.0,1059.38,-0.58,915.5,397.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.5,91.049,0.0,,0.0,0.0,17.2,-0.61543,-0.35861,
2024-05-27 01:25:00,0.2115,0.0,0.0,0.0,0.0,0.0,543.7,428.175,0.0,0.0,0.0,0.0,49.62,0.0,0.0,0.0,0.0,0.0,0,0.0,435.661,0.0,21.186,0.0,0.0,0.0,-0.21,85.845,0.0,0.0,30.11,706.847,0.0,0.0,0.024,0.0,55.05,130.765,0.0,789.73,0.0,0.0,0.0,0.0,24.7,0.0,-0.2,0.0,0.0,0.0,0.0,1059.58,-0.58,920.9,399.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.6,88.984,0.0,,0.0,0.0,21.0,-0.80064,-0.50911,
