SETTLEMENTDATE,ADPBA1,ADPPV,AGLHAL,ANGASTON,BARKIPS,BLUFF,BNGSF,BOWWBA,BOWWPV,CANUNDA1,CATHROCK,CLEMGPWF,DALNTH,DG_SA1,DRYCGT,HALLWF,HALLWF2,HORNSDAL,HORNSDAL2,HORNSDAL3,HORNSDPR,HVWWBA,HVWWPV,LADBROKE,LBB,LGAPWF,LGAPWF2,LKBONNY1,LKBONNY3,LKBONNY_2,LONSDALE,MAPS2PV,MAPS3PV,MBPS2PV,MINTARO,MTMILLAR,MWPSPV,NBHWF,NETIC,NPPPPS,OSBORNE,PAREPW,PORTLCN,QUARANTN,SNAPPER1,SNOWNTH,SNOWSTH,SNOWTOWN,SNUG,STANVAC,STARFHILL,TBSF,TORRIS,WATERLWF,WGWF,WPWF,CBWWBA,PAREPS,BOLIVPS,TB2B,TB2SF
2023-04-01 00:00:00,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.001,0.0,7.00818,6.2,54.9627,0.0,0,0.0,10.63,1.71,16.7,21.4,26.3,0.0,0.001,0.0,0.03,0.0,76.05,48.56,10.3599,2.90275,24.1527,0.0,0.0,0.0,0.0,0.08545,8.1,0.0,23.3,61.5299987793,450.047,0.0,85.44,0.0,0.0,0.0,76.0,57.8,70.3393,0.0,0.0,15.6954,0.0,57.0,0.7,32.3,45.82,0.0,0.066,0.0,0.0,0.0
2023-04-01 00:05:00,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,6.00701,5.4,55.3229,0.0,0,0.0,10.48,0.88,18.5,21.0,28.7,6.4,0.0,0.0,0.03,0.0,80.96,58.35,10.0027,3.18186,23.3489,0.0,0.0,0.0,0.0,0.08545,8.1,0.0,22.1,88.75,417.834,0.0,81.43,0.0,0.0,0.0,72.3,58.5,66.7589,0.0,0.0,14.1959,0.0,58.0,1.5,36.7,47.86,0.0,0.066,0.0,0.0,0.0
2023-04-01 00:10:00,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,7.20841,5.0,54.8907,0.0,0,0.0,7.89,0.53,22.3,22.1,29.2,0.7,0.001,0.0,0.03,0.0,80.23,59.84,10.1813,2.56782,22.199,0.0,0.0,0.0,0.0,0.08545,7.2,0.0,22.6,95.6399993896,411.123,0.0,78.29,0.0,0.0,0.0,70.8,54.3,65.2452,0.0,0.0,14.7957,0.0,58.0,2.7,34.0,46.41,0.0,0.066,0.0,0.0,0.0
2023-04-01 00:15:00,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,7.10829,5.9,52.0093,0.0,0,0.0,5.04,0.35,23.4,21.4,26.5,9.9,0.0,0.0,0.03,0.0,82.8,58.58,12.0568,3.51679,19.8211,0.0,0.0,0.0,0.0,0.08545,7.2,0.0,20.1,102.650001526,423.203,0.0,69.03,0.0,0.0,0.0,68.3,55.3,64.9217,0.0,0.0,13.3961,0.0,63.0,5.0,27.7,44.76,0.0,0.066,0.0,0.0,0.0
2023-04-01 00:20:00,0.0,0.0,0.0,-0.1,0.0,0.2,0.0,0.0,0.0,6.80794,6.6,50.5686,0.00763,0,0.0,3.66,0.0,23.2,21.2,27.0,4.5,0.0,0.0,0.03,0.0,81.53,56.94,12.414,3.12604,20.2509,0.0,0.0,0.0,0.0,0.08545,7.2,0.0,18.8,134.229995728,413.807,0.0,57.55,0.0,0.0,0.0,70.0,54.5,66.0146,0.0,0.0,10.7969,0.0,57.0,6.6,22.8,43.48,0.0,0.066,0.0,0.0,0.0
2023-04-01 00:25:00,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.001,0.0,7.20841,6.7,49.5601,0.0,0,0.0,2.37,0.0,23.5,20.2,26.2,3.1,0.0,0.0,0.03,0.0,80.0,55.89,15.5398,3.51679,20.6026,0.0,0.0,0.0,0.0,0.08545,6.7,0.0,18.5,171.13999939,418.505,0.0,51.67,0.0,0.0,0.0,67.9,54.8,64.1723,0.0,0.0,9.99708,0.0,62.0,7.2,16.6,40.14,0.0,0.066,0.0,0.0,0.0
2023-04-01 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,6.40747,4.9,46.8948,0.0,0,0.0,0.97,0.0,25.1,21.2,24.5,10.4,0.0,0.0,0.03,0.0,75.73,53.29,17.326,3.85172,18.7772,0.0,0.0,0.0,0.0,0.08545,7.2,0.0,19.7,176.229995728,415.821,0.0,49.6,0.0,0.0,0.0,66.5,56.2,65.1213,0.0,0.0,6.79802,0.0,58.0,8.3,12.0,33.8,0.0,0.066,0.0,0.0,0.0
2023-04-01 00:35:00,1.492,0.0,0.0,0.0,0.0,0.0,0.0,0.447,0.0,4.80561,5.1,50.0643,0.0,0,0.0,0.65,0.0,24.1,21.6,26.6,22.8,1.249,0.0,0.03,0.9,74.56,48.75,18.1298,4.57741,16.3546,0.0,0.0,0.0,0.0,0.08545,6.7,0.0,21.1,212.339996338,423.203,0.0,47.74,0.0,0.0,0.0,60.5,57.7,65.722,0.0,0.0,5.89828,0.0,62.0,8.7,9.5,26.63,0.0,0.066,0.0,0.0,0.0
2023-04-01 00:40:00,1.415,0.0,0.0,0.0,0.0,0.0,0.0,0.699,0.0,4.80561,3.8,48.2635,0.0,0,0.0,0.64,0.0,22.3,21.9,25.6,22.6,1.1,0.0,0.02,1.35,67.73,44.3,17.2367,3.62844,16.7677,0.0,0.0,0.0,0.0,0.08545,5.7,0.0,23.7,243.61000061,419.176,0.0,42.49,0.0,0.0,0.0,61.3,57.8,65.7227,0.0,0.0,6.29816,0.0,60.0,7.2,10.4,20.65,0.0,0.066,0.0,0.0,0.0
2023-04-01 00:45:00,1.291,0.0,0.0,0.0,0.0,0.0,0.0,0.754,0.0,4.70549,4.0,49.0558,0.01678,0,0.0,0.79,0.0,21.2,21.7,28.9,19.1,1.386,0.0,0.03,3.9,72.82,45.54,15.2719,3.62844,17.1641,0.0,0.0,0.0,0.0,0.08545,6.2,0.0,26.6,255.399993896,417.163,0.0,37.77,0.0,0.0,0.0,60.0,55.4,64.3552,0.0,0.0,4.0988,0.0,60.0,7.6,11.5,22.02,0.0,0.066,0.0,0.0,0.0
