SETTLEMENTDATE,ADPBA1,ADPPV,AGLHAL,ANGASTON,BARKIPS,BLUFF,BNGSF,BOWWBA,BOWWPV,CANUNDA1,CATHROCK,CLEMGPWF,DALNTH,DG_SA1,DRYCGT,HALLWF,HALLWF2,HORNSDAL,HORNSDAL2,HORNSDAL3,HORNSDPR,HVWWBA,HVWWPV,LADBROKE,LBB,LGAPWF,LGAPWF2,LKBONNY1,LKBONNY3,LKBONNY_2,LONSDALE,MAPS2PV,MAPS3PV,MBPS2PV,MINTARO,MTMILLAR,MWPSPV,NBHWF,NETIC,NPPPPS,OSBORNE,PAREPW,PORTLCN,QUARANTN,SNAPPER1,SNOWNTH,SNOWSTH,SNOWTOWN,SNUG,STANVAC,STARFHILL,TBSF,TORRIS,WATERLWF,WGWF,WPWF,CBWWBA,PAREPS,BOLIVPS,TB2B,TB2SF,TI
2023-06-17 00:00:00,0.0,0.0,0.0,-0.1,0.0,49.8,0.0,0.001,0.0,43.5508,0.0,55.0347,0.0,0,0.17624,84.27,64.16,99.3,99.7,108.6,0.0,0.0,0.0,0.03,0.0,107.51,84.55,29.74,15.072,82.7171,0.0,0.0,0.0,0.0,0.08545,0.4,0.0,124.2,0.0,0.0,0.0,198.84,0.0,0.0,0.0,137.4,117.6,88.7484,0.0,0.0,27.1921,0.0,82.0,115.5,0.0,68.86,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-17 00:05:00,0.0,0.0,0.0,-0.1,0.0,50.3,0.0,0.0,0.0,43.0502,0.0,55.1788,0.0,0,0.17624,84.14,64.03,99.3,100.2,108.8,0.0,0.001,0.0,0.03,0.0,107.59,84.72,29.8293,15.072,73.6074,0.0,0.0,0.0,0.0,0.08545,0.4,0.0,124.5,0.0,0.0,0.0,199.31,0.0,0.0,0.0,136.9,118.0,88.644,0.0,0.0,25.6925,0.0,80.0,115.8,0.0,69.91,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-17 00:10:00,0.0,0.0,0.0,-0.1,0.0,50.8,0.0,0.0,0.0,41.6486,0.0,54.9627,0.03204,0,0.17624,84.28,64.18,99.4,99.7,108.6,2.2,0.0,0.0,0.03,0.15,107.2,84.91,29.8293,15.1278,69.6554,0.0,0.0,0.0,0.0,0.08545,0.4,0.0,124.3,0.0,0.0,0.0,199.1,0.0,0.0,0.0,137.5,118.2,87.816,0.0,0.0,26.2923,0.0,85.0,116.0,0.0,68.54,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-17 00:15:00,0.0,0.0,0.0,-0.1,0.0,52.4,0.0,0.0,0.0,41.6486,0.0,55.2508,0.0,0,0.17624,84.51,63.86,99.4,100.0,108.6,0.0,0.0,0.0,0.02,0.0,106.46,84.66,36.3489,15.1278,144.386,0.0,0.0,0.0,0.0,0.08545,0.4,0.0,123.9,0.0,0.0,0.0,199.18,0.0,0.0,0.0,135.9,118.0,88.9317,0.0,0.0,27.392,0.0,80.0,115.2,0.0,68.88,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-17 00:20:00,0.0,0.0,0.0,-0.1,0.0,52.9,0.0,0.0,0.0,41.6486,0.0,55.1068,0.0,0,0.17624,84.17,64.25,99.4,99.9,108.8,3.8,0.0,0.0,0.04,0.0,107.07,84.77,29.74,15.1278,69.2424,0.0,0.0,0.0,0.0,0.08545,0.4,0.0,124.4,0.0,0.0,0.0,198.86,0.0,0.0,0.0,138.0,118.2,88.2554,0.0,0.0,25.5925,0.0,87.0,115.2,0.0,69.97,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-17 00:25:00,0.0,0.0,0.0,0.0,0.0,50.8,0.0,0.001,0.0,39.7464,0.0,55.2508,0.0,0,0.17624,83.7,64.47,99.4,99.9,108.6,0.7,0.0,0.0,0.04,0.0,107.0,84.62,29.74,15.1836,112.664,0.0,0.0,0.0,0.0,0.08545,0.9,0.0,124.1,0.0,0.0,0.0,199.17,0.0,0.0,0.0,137.5,118.4,88.9133,0.0,0.0,25.3926,0.0,81.0,115.9,0.0,69.33,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-17 00:30:00,0.0,0.0,0.0,0.0,0.0,52.4,0.0,0.001,0.0,39.7464,0.0,54.9627,0.0,0,0.0,84.23,63.51,99.4,99.8,108.4,0.0,0.0,0.0,0.02,0.0,106.45,84.61,29.8293,15.1278,86.9482,0.0,0.0,0.0,0.0,0.08545,0.4,0.0,124.0,0.0,0.0,0.0,198.35,0.0,0.0,0.0,137.9,117.1,88.5665,0.0,0.0,27.1921,0.0,80.0,115.5,0.0,67.86,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-17 00:35:00,0.0,0.0,0.0,-0.1,0.0,52.9,0.0,0.0,0.0,39.7464,0.2,54.5305,0.0,0,0.0,84.33,63.29,99.2,99.9,108.5,3.0,0.0,0.0,0.03,0.0,105.51,84.53,0.0,0.0,37.127,0.0,0.0,0.0,0.0,0.08545,0.9,0.0,124.4,0.0,0.0,0.0,199.11,0.0,0.0,0.0,137.8,118.5,89.0573,0.0,0.0,26.7922,0.0,86.0,116.0,0.0,66.5,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-17 00:40:00,0.0,0.0,0.0,-0.1,0.0,52.9,0.0,0.0,0.0,41.4483,0.0,54.9627,0.0,0,0.0,83.92,63.33,99.4,100.0,108.8,0.0,0.0,0.0,0.04,0.3,107.43,84.72,4.37616,2.45617,88.7241,0.0,0.0,0.0,0.0,0.08545,0.9,0.0,124.5,0.0,0.0,0.0,198.86,0.0,0.0,0.0,137.6,118.5,88.8324,0.0,0.0,25.4926,0.0,80.0,116.0,0.0,69.13,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-17 00:45:00,0.0,0.0,0.0,-0.1,0.0,52.8,0.0,0.001,0.0,41.4483,0.0,54.8907,0.0,0,0.0,84.32,63.04,99.3,99.8,108.8,0.0,0.0,0.0,0.04,0.0,105.08,84.59,29.2935,0.0,70.0993,0.0,0.0,0.0,0.0,0.08545,0.9,0.0,124.5,0.0,0.0,0.0,198.84,0.0,0.0,0.0,137.5,118.2,88.6295,0.0,0.0,25.0927,0.0,82.0,116.4,0.0,70.07,0.0,0.0,0.0,0.0,0.0,0.0
