SETTLEMENTDATE,BASTYAN,BBP31,BUTLERSG,CETHANA,CLUNY,CTHLWF,DEVILS_G,DG_TAS1,FISHER,GORDON,GRANWF,JBUTTERS,LEM_WIL,LI_WY_CA,LK_ECHO,MACKNTSH,MEADOWBK,MUSSELRO,NETIC,PALOONA,PTINA110,PTINA220,REECE,REPULSE,ROWALLAN,TARRALEA,TREVALLN,TRIBUTE,TUNGATIN,TVCCPS,WOOLNTH1
2023-06-26 00:00:00,76.29,0.0,-2e-06,0.0,6.72419,52.2988,0.0,0,45.4,21.9918,57.53,128.883,0.90195,27.6131,0.0,88.5,12.1465,151.4,388.470001221,12.94,5.26528,2.11,0.0,15.0484,0.0,10.2,97.0739,0.0,1.9,0,48.97
2023-06-26 00:05:00,76.32,0.0,-2e-06,0.0,6.73884,58.0117,0.0,0,45.4,22.6699,51.99,116.054,0.77121,28.0454,0.0,88.75,12.0608,151.7,392.609985352,12.85,5.196,3.99,0.0,9.99466,0.0,10.2,97.8863,0.0,2.1,0,65.16
2023-06-26 00:10:00,76.8,0.0,-2e-06,0.0,6.72419,56.5652,0.0,0,45.5,24.22,51.63,116.108,1.05603,28.2085,0.0,88.82,12.0322,152.5,381.970001221,12.92,5.33456,1.79,0.0,10.2547,0.0,10.3,98.2813,0.0,2.4,0,53.16
2023-06-26 00:15:00,76.56,0.0,-2e-06,0.0,6.7718,62.0768,0.0,0,45.51,22.8637,45.56,131.628,31.9961,28.0163,0.0,88.67,11.8607,152.0,304.320007324,12.92,5.23064,7.12,0.0,10.0325,0.0,10.3,98.2022,0.0,23.6,0,45.58
2023-06-26 00:20:00,76.28,0.0,-2e-06,0.0,6.71961,67.332,0.0,0,45.51,22.3793,48.97,137.198,32.7743,27.7222,0.0,88.77,11.9179,151.6,317.910003662,12.71,5.26528,3.56,0.0,9.96292,0.0,10.3,98.0002,0.0,25.4,0,30.78
2023-06-26 00:25:00,75.99,0.0,-2e-06,0.0,6.71504,67.3747,0.0,0,45.41,21.798,42.51,139.559,18.6794,27.6233,0.0,88.47,12.0322,151.6,352.109985352,12.76,5.26528,3.39,0.0,10.0264,0.0,10.3,98.1704,0.0,1.8,0,27.36
2023-06-26 00:30:00,75.93,0.0,-2e-06,0.0,6.70588,69.8283,0.0,0,45.39,22.1855,42.74,137.54,32.0957,27.8008,0.0,88.65,11.9179,151.2,324.859985352,12.78,5.12672,1.48,0.0,10.013,0.0,10.2,97.8918,0.0,5.3,0,31.38
2023-06-26 00:35:00,76.05,0.0,-2e-06,0.0,6.79103,75.6451,0.0,0,45.39,22.3793,42.37,134.752,32.6265,27.5489,0.0,88.45,11.8607,151.5,300.540008545,12.94,5.29992,1.31,0.0,10.1082,0.0,10.3,98.1104,0.0,22.2,0,52.81
2023-06-26 00:40:00,76.06,0.0,-2e-06,0.0,6.73884,76.6644,0.0,0,45.37,22.1855,38.49,135.73,32.7852,27.6104,0.0,88.54,12.0322,151.8,258.480010986,12.78,5.23064,1.22,0.0,10.052,0.0,10.3,97.9892,0.0,24.8,0,58.05
2023-06-26 00:45:00,76.41,0.0,-2e-06,0.0,6.73426,74.4305,0.0,0,45.43,22.8637,33.51,109.875,1.17588,27.997,0.0,88.75,11.975,151.4,346.619995117,12.76,5.196,1.22,0.0,10.1155,0.0,10.2,97.9669,0.0,3.9,0,58.3
2023-06-26 00:50:00,76.14,0.0,-2e-06,0.0,6.70588,66.0441,0.0,0,45.44,21.9918,37.85,99.7971,0.78054,27.6641,0.0,88.33,11.975,150.4,361.589996338,12.84,5.16136,1.23,0.0,10.1021,0.0,10.2,97.9572,0.0,1.9,0,97.9
