SETTLEMENTDATE,AGLSOM,ARWF,BALB,BANN,BHWF,BRYB1WF,BULBES,BULGANA,CHALLWF,CHYTWF,CLOVER,COHUNSF,CROWLWF,DARTM,DEIBDL,DG_VIC1,DIAPURWF,DUNDWF,EILDON,ELAINWF,GANNB,GANNSF,GLRWNSF,HUMEV,JEERA,JEERB,KARSF,KIAMSF,KIWF,LNGS,LOYYANGA,LOYYB,MACARTH,MCKAY,MLWF,MOORAWF,MORTLK,MRTLSWF,MTGELWF,MTMERCER,MURRAY,MUWAWF,NETIC,NEWPORT,NUMURSF,OAKLAND,PORTWF,RUBICON,SALTCRK,STOCKYD,VBB,VPGS,WAUBRAWF,WEMENSF,WINTSF,WKIEWA,YALLOURN,YAMBUK,YATSF,YENDWF,YSWF,BRYB2WF
2023-02-09 00:00:00,0.0,3.9,0.0,0.0,86.319,43.1067,0.0,30.49,13.8,33.61,11.05,0.0,25.943,178.1,0.0,0,4.2,148.78,0.04,22.47,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,9.0,0.0,2171,1148.49,0.0,0.0,1.065,23.57,0.0,11.2,52.591,28.1,120.5,242.05,0.0,0.0,0.0,8.7,56.1,0,12.93,139.63,0.0,0.0,73.4,0.0,0.0,30.0,379.148,0.0,0.0,18.48,2.4,1.29702
2023-02-09 00:05:00,0.0,4.5,0.0,0.0,83.85,42.6612,0.0,30.56,13.6,31.77,10.93,0.0,24.3814,177.5,0.0,0,3.2,171.38,0.04,23.3,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8.3,0.0,2161,1144.36,0.0,0.0,1.77,29.34,0.0,8.14,52.7497,30.0,118.2,229.74,0.0,0.0,0.0,8.7,51.6,0,12.6,129.4,0.0,0.0,70.786,0.0,0.0,29.7,375.196,0.0,0.0,19.73,1.8,1.07118
2023-02-09 00:10:00,0.0,5.6,0.0,0.0,87.659,45.8778,0.01,31.22,14.6,29.98,11.03,0.0,24.7829,177.5,0.0,0,3.4,168.32,0.04,24.19,0.11297,0.0,0.0,0.0,0.1,0.0,0.0,0.0,9.2,0.0,2184,1147.74,0.0,0.0,0.0,35.48,0.0,5.55,52.6109,27.2,121.8,225.45,0.0,0.0,0.0,8.7,50.4,0,11.22,120.17,2.1,0.0,68.446,0.0,0.0,30.0,378.866,0.0,0.0,17.69,2.2,1.25429
2023-02-09 00:15:00,0.0,8.4,0.0,0.0,91.426,52.0974,0.0,32.67,14.9,29.68,11.03,0.0,27.2978,178.5,0.0,0,3.2,148.78,0.04,25.08,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,9.1,0.0,2179,1148.12,0.0,0.0,2.625,38.96,0.0,4.53,52.4781,24.3,119.4,223.73,0.0,0.0,0.0,8.7,45.0,0,10.69,110.49,1.5,0.0,65.659,0.0,0.02,30.0,378.301,0.0,0.0,16.86,2.5,0.94911
2023-02-09 00:20:00,0.0,8.9,0.0,0.0,97.233,58.4024,0.0,31.51,16.7,28.9,11.07,0.0,27.05,178.1,0.0,0,3.0,129.8,0.04,25.26,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8.3,0.0,2186,1148.12,0.0,0.0,0.0,44.85,0.0,4.59,52.1699,24.7,120.7,223.25,0.0,0.0,0.0,8.7,41.7,0,12.32,106.28,0.0,0.0,67.772,0.0,0.0,30.0,376.89,2.2,0.0,15.78,2.5,0.89418
2023-02-09 00:25:00,0.0,8.6,0.0,0.0,97.548,53.9834,0.0,29.93,18.2,29.02,12.09,0.0,26.5103,178.7,0.0,0,3.4,129.46,0.04,23.81,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.4,0.0,2188,1150.75,0.0,0.0,0.0,54.7,0.0,4.43,52.2095,22.5,120.8,212.73,0.0,0.0,0.0,8.7,39.3,0,12.77,118.34,0.6,0.0,69.885,0.0,0.0,30.1,379.148,2.7,0.0,16.28,2.5,1.42519
2023-02-09 00:30:00,0.0,10.5,0.0,0.0,99.583,58.4146,0.0,24.61,19.9,28.79,11.94,0.0,26.2513,178.1,0.0,0,3.4,128.11,0.04,19.37,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,6.1,0.0,2188,1151.5,0.0,0.0,0.0,59.03,0.0,3.92,52.4842,17.9,117.8,207.67,0.0,0.0,0.0,8.7,39.1,0,13.53,129.51,0.1,0.0,65.279,0.0,0.0,30.2,380.277,3.1,0.0,15.59,2.5,1.72427
2023-02-09 00:35:00,0.0,9.7,0.0,0.0,99.94,56.7788,0.7,17.33,21.5,28.88,11.99,0.0,24.0056,53.8,0.0,0,3.4,119.74,0.04,18.36,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8.8,0.0,2190,1152.25,0.0,0.0,0.0,57.32,0.0,3.48,52.4308,15.5,109.0,199.58,0.0,0.0,0.0,8.7,36.9,0,14.78,133.68,4.3,0.0,63.996,0.0,0.0,30.6,383.665,2.8,0.0,12.82,2.9,2.121
2023-02-09 00:40:00,0.0,9.0,0.0,0.0,98.084,58.1949,0.0,13.06,22.0,27.77,11.78,0.0,22.1983,50.0,0.0,0,3.0,102.41,0.04,19.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,9.8,0.0,2175,1150.0,0.0,0.0,0.0,54.64,0.0,3.02,52.3927,16.6,105.3,205.88,0.0,0.0,0.0,13.4,35.6,0,16.39,141.75,0.0,0.0,61.806,0.0,0.0,30.0,378.301,2.3,0.0,11.43,3.1,2.73747
2023-02-09 00:45:00,0.0,7.5,0.0,0.0,95.899,63.4928,0.9,13.04,21.6,27.0,11.98,0.0,20.2609,51.4,0.0,0,2.8,96.56,0.04,17.53,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10.3,0.0,2192,1151.13,0.0,0.0,1.17,44.0,0.0,2.61,52.3316,19.7,108.2,206.14,0.0,0.0,0.0,12.3,34.0,0,16.99,153.27,4.9,0.0,58.329,0.0,0.0,30.3,381.124,2.3,0.0,12.14,3.6,2.57267
2023-02-09 00:50:00,0.0,5.5,0.0,0.0,95.274,68.2048,0.01,14.17,21.6,26.25,11.88,0.0,19.0628,51.1,0.0,0,2.4,91.72,0.04,14.63,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,9.3,0.0,2181,1151.13,0.0,0.0,1.5,38.59,0.0,2.23,52.3499,19.7,106.1,205.47,0.0,0.0,0.0,12.6,30.0,0,14.41,169.1,0.0,0.0,60.024,0.0,0.0,30.0,378.584,1.9,0.0,11.24,2.7,2.21866
2023-02-09 00:55:00,0.0,2.2,0.0,0.0,92.316,66.0075,0.46,15.77,19.4,27.06,12.0,0.0,19.2256,52.7,0.0,0,2.2,78.06,0.04,14.96,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8.1,0.0,2191,1153.38,0.0,0.0,1.605,38.01,0.0,1.49,52.2614,14.9,108.9,206.13,0.0,0.0,0.0,12.6,29.5,0,12.18,176.38,1.3,0.0,61.295,0.0,0.0,30.5,383.382,1.9,0.0,10.4,2.8,1.84024
2023-02-09 01:00:00,0.0,0.6,0.0,0.0,94.536,55.5581,0.0,16.41,17.6,25.93,11.83,0.0,19.0249,50.2,0.0,0,2.0,80.7,0.04,15.71,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8.5,0.0,2189,1150.0,0.0,0.0,1.395,33.94,0.0,1.77,52.1043,10.9,101.8,202.39,0.0,0.0,0.0,12.6,28.7,0,11.2,178.07,1.4,0.0,61.373,0.0,0.0,30.1,381.124,2.2,0.0,8.69,2.9,1.62661
2023-02-09 01:05:00,0.0,0.0,0.0,0.0,93.836,47.7455,0.0,17.58,16.6,22.49,11.84,0.0,19.0689,50.4,0.0,0,1.8,81.52,0.04,17.47,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8.3,0.0,2191,1150.37,0.0,0.0,1.185,26.32,0.0,1.26,52.2385,13.7,81.1,199.7,0.0,0.0,0.0,12.6,25.8,0,9.58,174.78,0.0,0.0,62.004,0.0,0.0,30.0,380.277,3.1,0.0,8.44,2.4,1.44961
2023-02-09 01:10:00,0.0,0.2,0.0,0.0,91.213,42.2461,0.11,16.27,16.3,21.86,11.9,0.0,18.9911,51.1,0.0,0,1.4,68.89,0.04,15.57,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.5,0.0,2191,1152.63,0.0,0.0,1.185,19.42,0.0,0.92,52.2706,18.4,81.4,194.98,0.0,0.0,0.0,12.6,23.8,0,9.02,181.09,9.8,0.0,65.629,0.0,0.0,30.2,382.253,3.3,0.0,9.32,2.4,1.90127
