SETTLEMENTDATE,AGLSOM,ARWF,BALB,BANN,BHWF,BRYB1WF,BULBES,BULGANA,CHALLWF,CHYTWF,CLOVER,COHUNSF,CROWLWF,DARTM,DEIBDL,DG_VIC1,DIAPURWF,DUNDWF,EILDON,ELAINWF,GANNB,GANNSF,GLRWNSF,HUMEV,JEERA,JEERB,KARSF,KIAMSF,KIWF,LNGS,LOYYANGA,LOYYB,MACARTH,MCKAY,MLWF,MOORAWF,MORTLK,MRTLSWF,MTGELWF,MTMERCER,MURRAY,MUWAWF,NETIC,NEWPORT,NUMURSF,OAKLAND,PORTWF,RUBICON,SALTCRK,STOCKYD,VBB,VPGS,WAUBRAWF,WEMENSF,WINTSF,WKIEWA,YALLOURN,YAMBUK,YATSF,YENDWF,YSWF,BRYB2WF,HBESS
2023-02-22 00:00:00,0.0,96.3,0.0,0.0,101.607,0.0,0.0,60.44,17.0,32.0,-0.01,0.0,65.5278,0.0,0.0,0,8.3,160.61,0.04,74.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6,0.0,1480,1038.34,91.5979,0.0,2.925,233.83,0.0,14.86,65.2043,67.2,0.0,260.95,0.0,0.0,0.0,21.4,131.2,0,19.63,377.1,0.0,0.0,147.496,0.0,0.0,0.0,1023.48,7.0,0.0,94.17,18.2,22.0676,0.0
2023-02-22 00:05:00,0.0,84.6,0.0,0.0,102.704,0.0,0.0,55.22,17.4,32.11,-0.01,0.0,63.1153,0.0,0.0,0,8.3,167.67,0.04,72.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,1484,966.535,91.3979,0.0,2.715,229.65,0.0,13.82,65.2303,69.6,0.0,268.59,0.0,0.0,0.0,23.2,132.0,0,22.38,396.21,0.0,0.0,144.146,0.0,0.0,0.0,1028.4,6.9,0.0,94.33,22.4,22.9648,0.0
2023-02-22 00:10:00,0.0,75.1,0.0,0.0,103.125,0.0,0.37,57.26,16.9,30.52,-0.01,0.0,64.512,0.0,0.0,0,8.3,182.49,0.04,74.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,1483,962.024,92.8979,0.0,2.73,218.87,0.0,14.03,65.2837,79.3,0.0,270.29,0.0,0.0,0.0,27.4,132.3,0,23.59,388.53,0.4,0.0,146.409,0.0,0.0,0.0,1033.07,7.1,0.0,94.69,19.4,22.2812,0.0
2023-02-22 00:15:00,0.0,64.9,0.0,0.0,102.624,0.0,0.0,50.89,17.0,29.8,-0.01,0.0,65.3476,0.0,0.0,0,8.3,205.41,0.04,78.45,0.03828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.0,1477,1012.03,93.2978,0.0,2.76,216.89,0.0,13.79,65.2547,78.6,0.0,275.15,0.0,0.0,0.0,30.1,126.9,0,24.01,392.37,0.0,0.0,147.571,0.0,0.0,0.0,1019.66,7.9,0.0,100.98,18.7,21.2375,0.0
2023-02-22 00:20:00,0.0,60.2,0.0,0.0,102.847,0.0,0.0,44.04,18.0,31.89,-0.01,0.0,65.0772,0.0,0.0,0,8.3,222.18,0.04,77.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0.0,1473,1047.74,100.498,0.0,2.715,211.32,0.0,10.23,65.7704,80.1,0.0,275.39,0.0,0.0,0.0,31.4,123.9,0,26.33,393.67,0.0,0.0,147.11,0.0,0.0,0.0,1017.52,8.6,0.0,98.57,18.9,22.1347,0.0
2023-02-22 00:25:00,0.0,53.7,0.0,0.0,102.542,0.0,0.0,37.17,20.0,29.15,-0.01,0.0,61.6571,0.0,0.0,0,8.3,235.17,0.04,74.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,0.0,1447,966.911,100.298,0.0,2.82,217.94,0.0,10.43,65.5583,79.9,0.0,288.98,0.0,0.0,0.0,33.4,123.1,0,25.26,389.09,0.0,0.0,146.315,0.0,0.0,0.0,1020.44,8.7,0.0,100.5,18.1,22.7451,0.0
2023-02-22 00:30:00,0.0,58.8,0.0,0.0,102.909,0.0,0.0,30.59,17.9,31.59,-0.01,0.0,57.4116,0.0,0.0,0,8.3,266.02,0.04,76.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1453,959.768,97.4977,0.0,3.045,210.37,0.0,11.32,65.2257,82.2,0.0,308.56,0.0,0.0,0.0,34.9,122.7,0,23.77,394.26,0.0,0.0,138.71,0.0,0.0,0.0,1025.89,9.1,0.0,101.01,18.8,23.6423,0.0
2023-02-22 00:35:00,0.0,58.0,0.0,0.0,102.601,0.0,0.0,29.27,18.1,33.07,-0.01,0.0,59.1442,0.0,0.0,0,8.3,275.06,0.04,75.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,1450,961.272,97.2978,0.0,3.345,208.46,0.0,11.67,65.5843,81.4,0.0,308.16,0.0,0.0,0.0,38.2,120.4,0,23.29,383.13,0.0,0.0,132.388,0.0,0.0,0.0,1020.59,9.5,0.0,113.08,21.7,23.4165,0.0
2023-02-22 00:40:00,0.0,53.6,0.0,0.0,102.858,0.0,0.0,27.26,17.3,35.99,-0.01,0.0,60.7089,0.0,0.0,0,8.3,277.93,0.04,74.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.1,0.0,1463,1021.8,102.798,0.0,4.065,209.57,0.0,11.78,65.7155,75.4,0.0,310.59,0.0,0.0,0.0,38.7,117.6,0,25.56,378.9,0.0,0.0,130.359,0.0,0.0,0.0,1025.05,10.2,0.0,113.64,20.5,24.094,0.0
2023-02-22 00:45:00,0.0,54.5,0.0,0.0,103.195,0.0,0.0,21.37,16.0,35.33,-0.01,0.0,61.4502,0.0,0.0,0,8.3,280.07,0.04,72.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,0.0,1452,941.723,107.498,0.0,4.635,211.29,0.0,13.73,65.4271,75.7,0.0,298.36,0.0,0.0,0.0,39.9,114.2,0,26.31,366.29,0.0,0.0,134.843,0.0,0.0,0.0,1022.0,10.1,0.0,113.59,22.3,24.2039,0.0
