SETTLEMENTDATE,AGLSOM,ARWF,BALB,BANN,BHWF,BRYB1WF,BULBES,BULGANA,CHALLWF,CHYTWF,CLOVER,COHUNSF,CROWLWF,DARTM,DEIBDL,DG_VIC1,DIAPURWF,DUNDWF,EILDON,ELAINWF,GANNB,GANNSF,GLRWNSF,HUMEV,JEERA,JEERB,KARSF,KIAMSF,KIWF,LNGS,LOYYANGA,LOYYB,MACARTH,MCKAY,MLWF,MOORAWF,MORTLK,MRTLSWF,MTGELWF,MTMERCER,MURRAY,MUWAWF,NETIC,NEWPORT,NUMURSF,OAKLAND,PORTWF,RUBICON,SALTCRK,STOCKYD,VBB,VPGS,WAUBRAWF,WEMENSF,WINTSF,WKIEWA,YALLOURN,YAMBUK,YATSF,YENDWF,YSWF,BRYB2WF,HBESS,PIBESS,GLENSF,HD1WF,GIRGSF
2024-07-22 00:00:00,0.0,65.8,2.98,0.0,85.851,165.331,0.0,100.46,36.6,31.74,0.0,0.0,62.6893,0.0,0.0,0,0.0,179.95,0.0,79.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0.0,2107.0,975.375,0.0,0.0,14.79,289.22,0.0,140.68,96.8612,91.5,0.0,304.21,0.0,0.0,0.0,35.8,108.1,0.0,42.94,389.59,0.0,0.0,91.905,0.0,0.0,0.1,1312.07,18.6,0.0,102.55,26.1,98.558,0.0,0.0,0.0,47.4,0.0
2024-07-22 00:05:00,0.0,58.9,0.0,0.0,82.742,164.123,0.49,100.76,34.4,30.42,-0.01,0.0,61.911,0.0,0.0,0,0.0,187.23,0.0,79.25,0.13923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,0.0,2160.0,984.0,0.0,0.0,13.92,287.35,0.0,140.5,96.0768,97.9,0.0,313.82,0.0,0.0,0.0,37.7,104.9,0.0,43.96,385.88,0.0,0.0,95.434,0.0,0.0,0.1,1325.45,17.2,0.0,96.74,25.9,97.7829,1.1,0.044,0.0,46.96,0.0
2024-07-22 00:10:00,0.0,61.2,0.0,0.0,82.844,161.975,0.01,100.5,36.0,29.91,-0.02,0.0,67.1211,0.0,0.0,0,0.0,188.31,0.0,78.21,6.62244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,0.0,2082.0,981.0,0.0,0.0,10.11,283.09,0.0,133.49,96.0021,98.3,0.0,318.85,0.0,0.0,0.0,41.1,105.8,0.0,39.56,369.96,0.0,0.0,95.878,0.0,0.0,0.1,1313.41,17.2,0.0,101.5,25.0,97.911,0.0,0.0,0.0,46.3,0.0
2024-07-22 00:15:00,0.0,60.5,12.91,0.0,85.157,159.96,0.02,100.76,34.3,27.0,-0.02,0.0,70.0416,0.0,0.0,0,0.0,194.83,0.0,77.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,0.0,2095.0,981.375,0.0,0.0,13.83,283.62,0.0,133.96,96.5117,101.7,0.0,311.85,0.0,0.0,0.0,38.2,109.7,0.0,36.24,366.49,0.0,0.0,94.965,0.0,0.0,0.1,1329.84,16.0,0.0,99.0,24.3,98.4054,0.0,0.0,0.0,47.22,0.0
2024-07-22 00:20:00,0.0,56.4,0.0,0.0,86.898,157.195,0.28,100.56,34.9,25.62,-0.01,0.0,67.842,0.0,0.0,0,0.0,186.54,0.0,69.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1,0.0,2130.0,981.75,0.0,0.0,14.4,280.82,0.0,130.18,95.4527,100.6,0.0,304.28,0.0,0.0,0.0,37.6,109.2,0.0,34.89,371.63,0.0,0.0,87.547,0.0,0.0,0.1,1311.06,17.2,0.0,103.32,22.6,98.0392,0.0,0.0,0.0,48.46,0.0
2024-07-22 00:25:00,0.0,57.1,0.0,0.0,88.727,157.635,0.0,100.31,33.8,22.06,-0.01,0.0,68.2803,0.0,0.0,0,0.0,175.92,0.0,64.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.4,0.0,2111.0,980.25,0.0,0.0,14.355,283.8,0.0,131.34,95.7518,97.6,0.0,298.87,0.0,0.0,0.0,38.7,110.1,0.0,29.92,365.89,0.0,0.0,86.919,0.0,0.0,0.1,1275.26,16.9,0.0,101.77,21.2,96.9711,0.0,0.0,0.0,47.02,0.0
2024-07-22 00:30:00,0.0,54.2,0.0,0.0,87.396,158.459,0.0,100.73,32.0,19.9,-0.01,0.0,68.6612,0.0,0.0,0,0.0,186.88,0.0,62.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.0,2100.0,971.25,0.0,0.0,16.05,274.54,0.0,132.09,96.3851,92.7,0.0,296.95,0.0,0.0,0.0,35.9,108.8,0.0,29.8,366.07,0.0,0.0,91.782,0.0,0.0,0.1,1260.55,16.4,0.0,101.75,22.7,101.518,0.0,0.0,0.0,48.98,0.0
2024-07-22 00:35:00,0.0,45.7,8.06,0.0,86.121,151.244,0.0,100.05,33.0,23.43,0.0,0.0,66.3777,0.0,0.0,0,0.0,181.17,0.0,61.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,0.0,2063.0,971.625,0.0,0.0,16.35,271.23,0.0,135.7,95.8266,93.2,0.0,299.8,0.0,0.0,0.0,38.1,112.1,0.0,25.61,356.89,0.0,0.0,91.08,0.0,0.0,0.1,1243.91,18.4,0.0,103.53,23.2,98.1674,0.0,0.0,0.0,48.06,0.0
2024-07-22 00:40:00,0.0,39.3,0.0,0.0,87.897,152.374,0.0,100.88,31.0,21.23,-0.01,0.0,65.7818,0.0,0.0,0,0.0,200.86,0.0,62.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,0.0,2130.0,979.125,0.0,0.0,17.175,269.28,0.0,135.32,95.8861,88.5,0.0,299.44,0.0,0.0,0.0,36.8,109.4,0.0,27.26,353.28,0.0,0.0,90.866,0.0,0.0,0.1,1220.4,18.2,0.0,103.8,23.4,93.0404,0.0,0.0,0.0,45.84,0.0
2024-07-22 00:45:00,0.0,37.7,0.0,0.0,83.881,153.362,0.0,99.89,31.6,23.4,0.0,0.0,66.5293,0.0,0.0,0,0.0,195.43,0.0,61.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0.0,2121.0,972.0,0.0,0.0,16.605,266.9,0.0,128.92,95.7152,86.7,0.0,291.79,0.0,0.0,0.0,43.3,109.8,0.0,28.07,349.58,0.0,0.0,85.201,0.0,0.0,0.1,1206.6,15.5,0.0,98.57,24.1,91.5206,0.0,0.0,0.0,44.12,0.0
