SETTLEMENTDATE,AGLSOM,ARWF,BALB,BANN,BHWF,BRYB1WF,BULBES,BULGANA,CHALLWF,CHYTWF,CLOVER,COHUNSF,CROWLWF,DARTM,DEIBDL,DG_VIC1,DIAPURWF,DUNDWF,EILDON,ELAINWF,GANNB,GANNSF,GLRWNSF,HUMEV,JEERA,JEERB,KARSF,KIAMSF,KIWF,LNGS,LOYYANGA,LOYYB,MACARTH,MCKAY,MLWF,MOORAWF,MORTLK,MRTLSWF,MTGELWF,MTMERCER,MURRAY,MUWAWF,NETIC,NEWPORT,NUMURSF,OAKLAND,PORTWF,RUBICON,SALTCRK,STOCKYD,VBB,VPGS,WAUBRAWF,WEMENSF,WINTSF,WKIEWA,YALLOURN,YAMBUK,YATSF,YENDWF,YSWF,BRYB2WF,HBESS,PIBESS,GLENSF,HD1WF,GIRGSF,RYANCWF,GPWFEST,RANGEB,WUNUSF,MOKOSF,KERNGSP
2024-12-23 00:00:00,0.0,155.9,,0.0,73.217,48.6671,,118.12,22.6,49.06,-0.01,0.0,66.3736,0.0,0.0,0,7.2,99.72,117.72,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,29.2,0.0,1674.0,961.875,63.2194,0.02,7.77,139.97,0.0,55.86,43.7315,31.7,0.0,139.53,0.0,0.0,0.0,21.3,106.5,0.81,22.09,330.31,,0.0,119.105,0.0,0.0,40.9,902.344,28.2,0.0,17.01,13.4,33.5546,,,0.0,128.48,0.0,181.5,26.92,,0.0,0.0,0.0
2024-12-23 00:05:00,0.0,145.1,,0.0,68.889,47.6661,,123.76,20.9,49.49,-0.01,0.0,63.8853,0.0,0.0,0,7.2,82.71,95.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,26.9,0.0,1747.0,1001.62,61.4659,0.02,8.46,132.9,0.0,44.3,40.7865,33.2,0.0,139.79,0.0,0.0,0.0,23.5,103.9,0.81,21.39,301.7,,0.0,120.756,0.0,0.0,17.0,898.281,27.9,0.0,17.14,15.1,32.2667,,,0.0,129.14,0.0,176.73,27.27,,0.0,0.0,0.0
2024-12-23 00:10:00,0.0,144.6,,0.0,66.893,44.303,,140.63,18.4,49.42,-0.01,0.0,67.8543,0.0,0.0,0,7.2,83.44,71.72,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,26.1,0.0,1772.0,1002.75,71.8363,0.02,9.075,129.79,0.0,39.08,40.582,33.3,0.0,134.42,0.0,0.0,0.0,26.6,104.4,0.81,18.56,306.85,,0.0,120.981,0.0,0.0,10.9,893.938,26.7,0.0,18.57,17.5,32.2057,,,0.0,138.38,0.0,180.31,29.23,,0.0,0.0,0.0
2024-12-23 00:15:00,0.0,136.4,,0.0,70.966,40.6958,,145.45,16.3,49.47,-0.01,0.0,69.0258,0.0,0.0,0,7.3,121.93,60.08,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,25.0,0.0,1808.0,969.75,78.9754,0.02,8.88,121.65,0.0,38.46,37.6782,30.5,0.0,141.49,0.0,0.0,0.0,28.6,97.1,0.81,15.71,316.18,,0.0,137.12,0.0,0.0,5.1,897.219,26.7,0.0,21.05,18.2,29.3492,,,0.0,135.44,0.0,180.66,31.06,,0.0,0.0,0.0
2024-12-23 00:20:00,0.0,130.9,,0.0,68.188,40.4151,,143.74,17.7,47.65,-0.01,0.0,69.2675,0.0,0.0,0,7.3,125.49,59.88,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,23.6,0.0,1773.0,968.625,78.6238,0.02,8.715,118.16,0.0,40.94,34.9223,32.1,0.0,145.43,0.0,0.0,0.0,27.2,100.1,0.81,11.74,299.24,,0.0,136.016,0.0,0.0,5.0,900.562,28.5,0.0,21.82,20.0,29.6239,,,0.0,144.8,0.0,172.15,34.26,,0.0,0.0,0.0
2024-12-23 00:25:00,0.0,125.9,,0.0,75.271,42.118,,145.01,18.6,46.52,-0.01,0.0,69.3084,0.0,0.0,0,7.3,166.04,60.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,22.6,0.0,1725.0,960.375,77.307,0.02,10.89,115.18,0.0,39.3,35.2046,36.0,0.0,134.13,0.0,0.0,0.0,27.9,92.2,0.81,8.32,291.96,,0.0,132.387,0.0,0.0,5.0,897.469,27.4,0.0,24.88,19.9,27.7501,,,0.0,131.58,0.0,167.91,34.64,,0.0,0.0,0.0
2024-12-23 00:30:00,0.0,122.8,,0.0,79.733,42.9542,,136.48,18.6,47.46,-0.01,0.0,65.9517,0.0,0.0,0,7.3,181.43,60.08,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,21.8,0.0,1744.0,973.5,80.2194,0.02,9.57,110.99,0.0,38.43,36.7229,38.4,0.0,140.39,0.0,0.0,0.0,32.0,98.3,0.72,6.91,279.47,,0.0,130.017,0.0,0.0,5.1,900.125,27.7,0.0,25.6,18.2,28.9219,,,0.0,123.64,0.0,173.66,36.41,,0.0,0.0,0.0
2024-12-23 00:35:00,0.0,119.1,,0.0,79.494,45.8473,,136.51,18.2,48.99,-0.01,0.0,66.8365,0.0,0.0,0,7.3,165.14,60.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,24.0,0.0,1756.0,980.25,91.9454,0.02,9.885,102.56,0.0,34.93,36.6939,39.7,0.0,146.05,0.0,0.0,0.0,32.9,100.0,0.81,7.58,265.77,,0.0,129.273,0.0,0.0,0.0,904.0,27.4,0.0,25.39,16.3,34.4945,,,0.0,119.48,0.0,181.09,33.88,,0.0,0.0,0.0
2024-12-23 00:40:00,0.0,125.2,,0.0,74.043,55.436,,125.69,17.2,49.33,-0.01,0.0,63.6375,0.0,0.0,0,7.3,152.9,59.84,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,26.9,0.0,1799.0,976.5,103.663,0.02,9.12,112.67,0.0,35.02,38.4716,38.6,0.0,150.79,0.0,0.0,0.0,37.2,103.1,0.72,9.06,265.82,,0.0,130.594,0.0,0.0,0.0,898.562,25.7,0.0,22.1,15.5,36.7895,,,0.0,103.42,0.0,170.15,34.66,,0.0,0.0,0.0
2024-12-23 00:45:00,0.0,125.2,,0.0,72.628,57.3953,,125.05,15.8,49.32,-0.01,0.0,61.3089,0.0,0.0,0,7.3,136.34,59.92,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.0,29.7,0.0,1788.0,955.875,100.311,0.02,7.89,104.98,0.0,31.9,43.1013,38.9,0.0,160.16,0.0,0.0,0.0,39.1,114.6,0.72,14.4,275.14,,0.0,130.698,0.0,0.0,0.0,894.406,27.7,0.0,20.16,17.1,44.1321,,,0.0,92.42,0.0,178.03,31.93,,0.0,0.0,0.0
